sentence_text,gold_merged_tokens
"tozlanan ayakkabılarını parlatmak amacıyla arka cebinde koyu kırmızı kadifeden bir bez taşıdı .","tozlanan ayakkabılarını parlatmak amacıyla arka cebinde koyu_kırmızı kadifeden bir bez taşıdı ."
"onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor .","onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor ."
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .","i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar ."
"gideyidim çukurova düzüne / uymaz olam kör şeytanın sözüne","gideyidim çukurova düzüne / uymaz olam kör_şeytanın sözüne"
"ailevi bir laubalilikle genç adam , köşe koltuğuna kuruldu .","ailevi bir laubalilikle genç adam , köşe_koltuğuna kuruldu ."
"adamcağız vaktini köşe penceresinde gazetesini okumakla geçirdi .","adamcağız vaktini köşe_penceresinde gazetesini okumakla geçirdi ."
"firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı katına taşındı .","firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı_katına taşındı ."
"başına kenarları yeşil oyalı mor bir gaz boyaması krep bağlıyordu .","başına kenarları yeşil_oyalı mor bir gaz boyaması krep bağlıyordu ."
"uzakta bir krupiyenin kalın sesi işitiliyordu .","uzakta bir krupiyenin kalın_sesi işitiliyordu ."
"on yıl var ayrıyım kına dağı'ndan / baba ocağından , yâr kucağından","on yıl var ayrıyım kına dağı'ndan / baba_ocağından , yâr kucağından"
"dört tarafı haraca kesen bu kudurmuş oğlanı kodese attırana kadar el birliğiyle çalışacağımıza söz veriyor muyuz ?","dört tarafı haraca kesen bu kudurmuş oğlanı kodese attırana kadar el_birliğiyle çalışacağımıza söz veriyor muyuz ?"
"yüksek , sur gibi kalın duvarın ardındaki küçük avluya kunt demir kapıdan girilirdi .","yüksek , sur gibi kalın duvarın ardındaki küçük avluya kunt demir_kapıdan girilirdi ."
"i̇nsanlar da görünen dünyanın bir parçası olarak bu kurama girerler .","i̇nsanlar da görünen dünyanın bir_parçası olarak bu kurama girerler ."
"salih reis , dört kuru duvardan ibaret fukara kapısından gördüğü mavi denize baka baka ölmek istiyordu .","salih reis , dört kuru_duvardan ibaret fukara kapısından gördüğü mavi denize baka baka ölmek istiyordu ."
"kuru bir anlatım .","kuru bir anlatım ."
"otlaktan çıktıkları sırada hava kuru soğuktu .","otlaktan çıktıkları sırada hava kuru_soğuktu ."
"kuşluk vaktinin sıcağına rağmen bina loş ve serin .","kuşluk_vaktinin sıcağına rağmen bina loş ve serin ."
"ben her sene 11 mayısta doğum günümü kutlarım .","ben her sene 11 mayısta doğum_günümü kutlarım ."
"parkın ötesinde berisindeki küçük kuytulukları , bu saatte bazı işsizler işgal ederlerdi .","parkın ötesinde_berisindeki küçük kuytulukları , bu saatte bazı işsizler işgal ederlerdi ."
"küçük hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .","küçük_hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır ."
"kadın ağzını açmış , gözünü yummuş , ne nankörlüğünü ne taş yürekliliğini bırakmıştı .","kadın ağzını açmış , gözünü yummuş , ne nankörlüğünü ne taş_yürekliliğini bırakmıştı ."
"babam , paranın üstünü , kürdanlarla birlikte olduğu gibi aldı , cebine koydu ; garsona hiç bahşiş bırakmadı .","babam , paranın_üstünü , kürdanlarla birlikte olduğu gibi aldı , cebine koydu ; garsona hiç bahşiş bırakmadı ."
"bu labirentte yolumu kaybedip gitmem işten değildi .","bu labirentte yolumu kaybedip gitmem işten_değildi ."
"mekteple ev arasında daima bir lalanın refakatinde gidip gelmeye alıştı .","mekteple ev arasında daima bir lalanın refakatinde gidip_gelmeye alıştı ."
"sağlık , levazım gibi geri hizmetlerde çalıştırılıyor , sedye , karavana taşıyorduk .","sağlık , levazım gibi geri_hizmetlerde çalıştırılıyor , sedye , karavana taşıyorduk ."
"kız kardeşi nazime'yi yaşlı bir liman reisi istedi .","kız_kardeşi nazime'yi yaşlı bir liman reisi istedi ."
"annemin lohusa yatağı , evin cepheye doğru , sonundaki ön odadaydı .","annemin lohusa yatağı , evin cepheye doğru , sonundaki ön_odadaydı ."
"loşça bir köşeye çekilerek ortalığı gözden geçirmekten başka yapacağı bir şey yoktu .","loşça bir köşeye çekilerek ortalığı gözden_geçirmekten başka yapacağı bir şey yoktu ."
"kim demiş onu diye arsız arsız sırıtmış ve lüks mevkiye doğru yürümüş .","kim demiş onu diye arsız arsız sırıtmış ve lüks_mevkiye doğru yürümüş ."
"henüz beş yaşında mahalle mektebinde okurken , öğleye yakın zelzele olmuştu .","henüz beş yaşında mahalle_mektebinde okurken , öğleye yakın zelzele olmuştu ."
"onun emrini yerine getirmekten mahkûmane bir zevk alıyor .","onun emrini yerine_getirmekten mahkûmane bir zevk alıyor ."
"odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana bakıyorlardı .","odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana_bakıyorlardı ."
"tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim .","tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim ."
