sentence,gold_mwe,pred_mwe
yazı işleri müdürleri böyle öyküler istiyorlar .,yazı işleri,yazı_işleri
"sözü geçen para ehemmiyetsiz bir şeydi ve müdür muavini , onu çok ustalıkla aparmıştı .",müdür muavini,müdür_muavini
bu olur iş mi ?,iş mi,iş_mi
sanki görüşmemiz münasebetsiz bir safhaya girmişti de ister istemez lakırtıyı kesmiştik .,ister istemez,ister_istemez
ustanın kendisini küçük burjuva münevveri diye aşağılık görmesinin acısını çıkarıyor .,küçük burjuva,küçük_burjuva
"eli yüzü karalı , elleri dirseklerine kadar sıvalı mürettipler harıl harıl çalışırlarken arada bana bakıyorlardı .",harıl harıl,harıl_harıl
aksaray'ın kaldırım kabadayısı yetiştirmesi müsellemdir .,kaldırım kabadayısı,kaldırım_kabadayısı
müsveddelik kâğıt .,müsveddelik kâğıt,müsveddelik_kâğıt
hatta çirkin yaradılışımdan bile / o kadar müteessir değildi,o kadar,o_kadar
"açık fikirli , asrileşmeye mütemayil ve müsaitmiş .",açık fikirli,açık_fikirli
"sanki bütün hayattan müteneffir , hayat onun için karanlık .",onun için,onun_için
"benibeşer arasında , ister şiire , ister başka bir şeye rehberlik etmek ancak o şeyin cinsinden olmaya mütevakkıftır .",rehberlik etmek,rehberlik_etmek
"uçsuz bucaksız uzayan kır / kimi yerde nadas , kimi anız",uçsuz bucaksız,uçsuz_bucaksız
kendi kazamızın beş on saat ötesinde bir nahiye merkezinde bulunuyorduk .,beş on,beş_on
"öteden beri denemişimdir , bu , daima bana bir nahoş vaka haber verir .",öteden beri,öteden_beri
"bir yandan da necla : ay yoruldu , ay hastalanacak , ay ölecek diye eski nakaratına devam ediyor .",bir yandan,bir_yandan
"karı koca üç senede bir apartman , bir konak ve nakden altmış beş bin lira yediler .",karı koca,karı_koca
siyasi partiler . herhangi bir suretle ayni ve nakdî yardım alamazlar .,herhangi bir,herhangi_bir
siyasi partiler . herhangi bir suretle ayni ve nakdî yardım alamazlar .,nakdî yardım,nakdî_yardım
"sırtında dört peşli entari , belinde şal kuşak , başında namaz bezi .",şal kuşak,şal_kuşak
"sırtında dört peşli entari , belinde şal kuşak , başında namaz bezi .",namaz bezi,namaz_bezi
eczanede acaba nane suyu yahut zararsız bir sulu ilaç var mıdır ?,nane suyu,nane_suyu
"fakat şaşkınlığı ne denli büyük olursa olsun , oranın güzelliği daha büyüktü .",ne denli,ne_denli
şu karşıdan gelen dilber / gelir amma neden sonra,neden sonra,neden_sonra
"geride tek tük ev ve onların da ardında yarı filizî , yarı neftî bir orman seçiliyordu .",tek tük,tek_tük
o kadar ki sonunda şık ve iyi nekahethanede yatırmak mecburiyeti hasıl olmuş .,o kadar,o_kadar
feride'nin bu sefer keyfi pek yolundaydı .,bu sefer,bu_sefer
"mefkûre birdenbire kaybolmayıp yavaş yavaş zayıflarsa şeker hastalığı , nevrasteni , isteri başlarmış .",yavaş yavaş,yavaş_yavaş
"mefkûre birdenbire kaybolmayıp yavaş yavaş zayıflarsa şeker hastalığı , nevrasteni , isteri başlarmış .",şeker hastalığı,şeker_hastalığı
allah nice nice yıllara eriştirsin .,nice nice,nice_nice
sevim'le turgut'u nikâh memuru gibi yan yana karşıma oturttum .,nikâh memuru,nikâh_memuru
sevim'le turgut'u nikâh memuru gibi yan yana karşıma oturttum .,yan yana,yan_yana
evinizin iş yerinize bu kadar yakın oluşu nimet .,bu kadar,bu_kadar
tabancasını kılıfından çıkarmış ve nişan almak üzereydi .,nişan almak,nişan_almak
"nokta memuru otomobilin hızını yedi buçuk , müfettiş on üç olarak iddia ediyorlardı .",nokta memuru,nokta_memuru
bir sıtma nöbeti içinde titreyerek olduğu yere çöreklendi .,sıtma nöbeti,sıtma_nöbeti
ben yıllardan beri bir türlü bu nüfuz ticareti üzerinde davamı anlatamamışımdır .,bir türlü,bir_türlü
ben yıllardan beri bir türlü bu nüfuz ticareti üzerinde davamı anlatamamışımdır .,nüfuz ticareti,nüfuz_ticareti
"mustafa , arkasına güçlü kuvvetli bir kadın takmış , üç evleğine çizgiler , ocaklar açıyordu .",güçlü kuvvetli,güçlü_kuvvetli
kıştan kalan ateşsiz mangalı el alışkanlığı neticesi birkaç kere karıştırdıktan sonra .,el alışkanlığı,el_alışkanlığı
"bekledi ; odunumsu , bir dudağı yerde bir dudağı gökte bir arap bekledi .",bir dudağı yerde bir dudağı gökte,bir_dudağı_yerde_bir_dudağı_gökte
"doksan yaşına kadar yaşamış , yokluk yüzü görmemiş , oğul uşak toplansa koca bir mahalle olacak kadar bereketlenmiş .",oğul uşak,oğul_uşak
okumuşluk yabancı etkilere açılmak demektir ve bu da dili az çok değiştirir .,az çok,az_çok
bu olacak iş mi ?,iş mi,iş_mi
"bunları unutmak , sarsılmamak , olanca dikkatini konu bulmaya sarf etmek gerekti .",sarf etmek,sarf_etmek
olimpik yüzme havuzu .,yüzme havuzu,yüzme_havuzu
nihayet ben mal sahibi olacağıma göre rahattım .,mal sahibi,mal_sahibi
olsa olsa sanat enstitüsü mezunudur .,sanat enstitüsü,sanat_enstitüsü
olsa olsa sanat enstitüsü mezunudur .,olsa olsa,olsa_olsa
"kayıkçı hasan'ın oğlu cemal , olta balığı getirmiştir .",olta balığı,olta_balığı
öyle olur olmaza ağzını açıp da bir çift laf etmez .,bir çift,bir_çift
"i̇çeriye orta boylu , geniş omuzlu , iri gövdeli bir adam girdi .",orta boylu,orta_boylu
"öfkeli insanlar , el ele , omuz omuza , taksim'e doğru akıyorlardı .",omuz omuza,omuz_omuza
hem de hükûmet reisinden pabuç tamircisine kadar herkese ve her konuda .,hem de,hem_de
bir iki mecidiyenin arasına sıkışmış bir onluğu ararken arkadan bir araba geliyordu .,bir iki,bir_iki
can pazarı bu .,can pazarı,can_pazarı
bizim operetlerimiz cinsinden bir sürü halk tiyatroları var .,bir sürü,bir_sürü
birdenbire başını şöyle bir çevirdi ve bir kaldırdı o şakağa doğru oraklaşan kaşını .,şöyle bir,şöyle_bir
şu kopan fırtına türk ordusudur ya rabbi / senin uğrunda ölen ordu budur ya rabbi,ya rabbi,ya_rabbi
kim bilir ne orostopolluk var bu oyunda .,kim bilir,kim_bilir
"dil birliği , anlaşamamak yüzünden doğabilecek ayrılıkların karşılıklı düşmanlıkları giderebileceği bir ortaklık tabanıdır .",dil birliği,dil_birliği
"bu saat , kendimi bildim bileli sofraya oturma saatimizdir .",bildim bileli,bildim_bileli
"dikişe , oyaya başladı , hanım hanımcık yaşıyordu , memnundu .",hanım hanımcık,hanım_hanımcık
"araban , yazlığın , kışlığın , çiftliğin , hafta sonu evin , hobilerin , oyalantıların var .",hafta sonu,hafta_sonu
"bir oylamada hakkım olan bir oyu bile bile esirgemiş , kırmıştı beni .",bile bile,bile_bile
"oyuncakçı dükkânından satın alınmış , çocuk işi teneke bir makine ile dün gece cumhur cemaat rulet oynamıştık .",çocuk işi,çocuk_işi
"oyuncakçı dükkânından satın alınmış , çocuk işi teneke bir makine ile dün gece cumhur cemaat rulet oynamıştık .",cumhur cemaat,cumhur_cemaat
bu neşenin herhangi bir şairanelikle alakası yoktu .,herhangi bir,herhangi_bir
damga vergisi satıcı tarafından karşılanacaktır,damga vergisi,damga_vergisi
tam on ikiyi çeyrek geçe öğle yemeğini yiyor dakikası dakikasına .,dakikası dakikasına,dakikası_dakikasına
çoluk çocuk öylesine öğür oldular ki onları dışarıdan gören pekâlâ çok nüfuslu tek bir aile sanabilirdi .,çoluk çocuk,çoluk_çocuk
çoluk çocuk öylesine öğür oldular ki onları dışarıdan gören pekâlâ çok nüfuslu tek bir aile sanabilirdi .,tek bir,tek_bir
i̇nsana çok yararmış hem de öksürüğe tıksırığa birebirmiş .,hem de,hem_de
yüz binde bir ölçeğinde bir harita .,binde bir,binde_bir
"meğer eskiden , öldürme vasıtası ne kadar az ve korunma çaresi ne kadar çokmuş .",ne kadar,ne_kadar
evliya çelebi ömür adam .,ömür adam,ömür_adam
ön söz .,ön söz,ön_söz
en yakınındaki insanları bile tanımayan ön yargılı bir adam olduğumu bir güzel göstermişti bana .,ön yargılı,ön_yargılı
yaşadıkça kendi kabuğunu yetiştiren sümüklü böcek gibi talihimizi biz kendimiz öreriz .,sümüklü böcek,sümüklü_böcek
sık ağaçlar arasında yalnız üst katının çatısı görünen kırmızı aşı boyalı bir eski eve doğru yürüyorlardı .,aşı boyalı,aşı_boyalı
"öşürcüler , ağnamcılar , tahsildarlar , zaptiyeler köylerde kuzu gibi namuslu namuslu dolaşırlarmış .",kuzu gibi,kuzu_gibi
"burun kanaması , diş kırılması , ötede beride ufak tefek sıyrıklar ve şişler .",ufak tefek,ufak_tefek
"burun kanaması , diş kırılması , ötede beride ufak tefek sıyrıklar ve şişler .",ötede beride,ötede_beride
öteden beriden susturmak isteyenler oldu .,öteden beriden,öteden_beriden
bu işin ötesi berisi yok .,ötesi berisi,ötesi_berisi
gözleri ateşler saçarak telaşlı ve heyecanından çatlayacak gibi öteye beriye gidip geliyordu .,öteye beriye,öteye_beriye
"onlar saçma sapan ötüp dururken , ben içimden şöyle düşünüyordum .",saçma sapan,saçma_sapan
bir bebek yatağı hazırlar gibi özene bezene muslinlerle süslemiştim .,özene bezene,özene_bezene
demek ki güzele olan eğilim insanın özgül bir vasfı değil .,demek ki,demek_ki
bu pahalılıkta hâlimiz ne olacak ?,ne olacak,ne_olacak
"bu arsada zaman zaman at cambazları , hokkabazlar , palyaçolar hünerlerini gösterirler .",zaman zaman,zaman_zaman
açsam sonra tek panjuru / yıllar yılı kapalı,yıllar yılı,yıllar_yılı
"üst baş direğinden gocuğunu , papağını aldı , çizmelerinin kenar kürklerini düzledi .",üst baş,üst_baş
"rugan iskarpinleri , papyon boyun bağı bile var .",boyun bağı,boyun_bağı
"siyah , çıplak dallarda henüz kuruyamayan su damlaları parlak , mavi birer boncuk gibi parlıyordu .",boncuk gibi,boncuk_gibi
"nüfuzlu akrabalarının yardımı sayesinde bir iki senede parlamış , büyük bir hariciye memuru olmuş .",bir iki,bir_iki
öyle bir şey ki ne acem aruzu ne de parmak hesabı .,parmak hesabı,parmak_hesabı
duvarda parmak parmak yağ lekeleri var .,parmak parmak,parmak_parmak
ve daha bin türlü paskallıklar yaparak beni güldürmeye çalışıyordu .,bin türlü,bin_türlü
"bazı deli dolu sözlerine , çocuk sözleri gibi sevinerek gülüşüyoruz .",deli dolu,deli_dolu
patır kütür inip çıkıyorlardı .,patır kütür,patır_kütür
"harp patlıyor ve askerlere edebiyatçılık , edebiyatçılara askerlik yapmak düşüyor .",askerlik yapmak,askerlik_yapmak
yaşlıca bir erkekle biraz paytakça bir kadın ağır ağır yürüyorlar .,ağır ağır,ağır_ağır
balık pazarı .,balık pazarı,balık_pazarı
kendim için üzeri pekmezli bir su muhallebisi . ısmarlamıştım .,su muhallebisi,su_muhallebisi
"yanımızda , ne olur ne olmaz diye alınmış yarım çuval peksimet vardı .",ne olur ne olmaz,ne_olur_ne_olmaz
"denizde canlanmış bir köpük gibi açılan kapanan peltenin hayatını gördükçe bu hayatlar nedir ve niçindir , demek ihtiyacını duyardım .",köpük gibi,köpük_gibi
o sekiz pencereli odayı bir türlü açamadı .,bir türlü,bir_türlü
badik kızların yanı sıra perçemli öğrenciler geçiyordu .,yanı sıra,yanı_sıra
doğruluğu peşin peşin kabul edilmiş bir hükme sudan sebepler aradılar .,peşin peşin,peşin_peşin
' misafirlere mahsus bir sürü yedek silecek bohçaları peştamalından kesesine kadar hazır durur .,bir sürü,bir_sürü
"çatıların üstüne çöp yığınlarından ayıkladıkları naylonları , yırtık pırtık savanları , delik deşik kilimleri serdiler .",delik deşik,delik_deşik
"çatıların üstüne çöp yığınlarından ayıkladıkları naylonları , yırtık pırtık savanları , delik deşik kilimleri serdiler .",yırtık pırtık,yırtık_pırtık
"o kadar korktular , o kadar pıstılar ki arkalarına bile bakmadan kaçmaya başladılar .",o kadar,o_kadar
sol gözünden pıtır pıtır iki damla yaş dökülüverdi .,pıtır pıtır,pıtır_pıtır
ayşe nine de onlara bir yorgunluk kahvesi pişiriyordu hem de denizcilerle yârenlik ediyordu .,hem de,hem_de
ayşe nine de onlara bir yorgunluk kahvesi pişiriyordu hem de denizcilerle yârenlik ediyordu .,yorgunluk kahvesi,yorgunluk_kahvesi
"tuğla , çanak çömlek özel ocaklarda pişer .",çanak çömlek,çanak_çömlek
"bu ipek gibi et , genelde bademli pilavla birlikte gelirdi sofraya piyata tabağında .",ipek gibi,ipek_gibi
o tarihte aramızda kasaba planını yapmaya gelmiş bir iki mühendis ve mimar bulunuyordu .,bir iki,bir_iki
bu sefer plansız programsız hareket edelim .,plansız programsız,plansız_programsız
bu sefer plansız programsız hareket edelim .,bu sefer,bu_sefer
"üzerinde , uzun bir redingot , boynunda da kara bir plastron boyun bağı vardı .",boyun bağı,boyun_bağı
"mutlaka , mustafa kemal o esnada bunları düşünmüş ve kendisindeki büyük devlet adamı şuuru politikacılık ihtiraslarına galebe çalmıştı .",devlet adamı,devlet_adamı
"çok geçmeden biri koluma girdi ve ' özür dileriz şimdi kadınların alışveriş saati , erkekler için akşam açığız ' deyip beni kibarca postaladı .",çok geçmeden,çok_geçmeden
"kıran bey , şimdi bacaklarına dolak sarmış , siyah poturlu , keçe külahlı , göğsünde fişeklikler ve elinde mavzer , tığ gibi bir delikanlıydı .",tığ gibi,tığ_gibi
demir putreli bir bal mumu gibi bir vuruşta eritiveriyordu .,bal mumu,bal_mumu
eser seher yeli zülfün dağıtır / gerdana dökülen tel incinmesin,seher yeli,seher_yeli
"düşmanı hem de kanadı kırık hâlimizle , hangi güçle geri püskürttük ?",hem de,hem_de
"muşambanın üstünde körpecik bir salatalık , çiçeği burnunda , pütürlü .",çiçeği burnunda,çiçeği_burnunda
kalorifer peteği .,kalorifer peteği,kalorifer_peteği
"kapıdan girince sol yanda bir ocağı , sağ yanda da duvara gömme bir dolabıyla beş altı rafı vardı .",beş altı,beş_altı
kocalarının aşkına sahip ve hâkim olmak hususundaki mübarezede kadınlar rakibelerine nispetle pek müsait olmayan bir mevkide bulunurlar .,hâkim olmak,hâkim_olmak
evlerin başka odalarında duvara asılmış rakkaslı ve rakamları alaturka bir çalar saat işler .,çalar saat,çalar_saat
kukla oyunu realist bir yansıtma değil .,kukla oyunu,kukla_oyunu
hele bir portakal şurubu reçetesini tarif etti .,hele bir,hele_bir
"hiç kimse türkiye'de normal , sürekli ve dengeli bir basın rejimi yaşamış olduğunu iddia edemez .",hiç kimse,hiç_kimse
geriye kalan üç dört yolcuya gelince bunlar lalettayin ve renksiz insanlardı .,üç dört,üç_dört
"peş peşe sıralanan mizansen bozukluklarıyla , kötü okunan replikleriyle bu piyes baştan başa fiyaskoydu .",baştan başa,baştan_başa
"peş peşe sıralanan mizansen bozukluklarıyla , kötü okunan replikleriyle bu piyes baştan başa fiyaskoydu .",peş peşe,peş_peşe
osmanlı devleti'nin birçok vergi ve resimleri bu yüzden doğrudan doğruya yabancı alacaklıların cebine gider .,doğrudan doğruya,doğrudan_doğruya
osmanlı devleti'nin birçok vergi ve resimleri bu yüzden doğrudan doğruya yabancı alacaklıların cebine gider .,bu yüzden,bu_yüzden
öyle de olsa ha deyince senin boyuna bosuna göre asker kıyafeti bulunur mu ?,ha deyince,ha_deyince
birinden bir şey istemenin işkence çekmekle eş değer olduğunu anlayacaktık .,eş değer,eş_değer
i̇şler günden güne geri gidiyor .,günden güne,günden_güne
"oyuncakçı dükkânından satın alınmış , çocuk işi teneke bir makine ile dün gece cumhur cemaat rulet oynamıştık .",çocuk işi,çocuk_işi
"oyuncakçı dükkânından satın alınmış , çocuk işi teneke bir makine ile dün gece cumhur cemaat rulet oynamıştık .",cumhur cemaat,cumhur_cemaat
"geniş , bomboş bir taşlığın serin , rutubetli küf kokusu duyuldu .",küf kokusu,küf_kokusu
beş altı mil ötedeki karşı kıyıya bir saatte varabilirdik ancak .,beş altı,beş_altı
"sorunu kendisi yaratmış , kendisi ortaya atmıştı , sabah akşam bunu düşünüyor , bunu konuşuyordu .",sabah akşam,sabah_akşam
büyümüş gözler örste dövülen kızgın demir gibi kıvılcımlar saçtı .,demir gibi,demir_gibi
sağ bek rıza topu filelerden çıkarıp santraya gönderiyor .,sağ bek,sağ_bek
biz atölyede bir türlü adını bağışlamayan renklere sağır renkler deriz .,bir türlü,bir_türlü
kopan feryadın gücü sağlı sollu komşuların eve hücum edeceği kaygısını uyandırdı .,sağlı sollu,sağlı_sollu
köylü kadınlar boyunlarında sıra sıra sahte altınlar . taşırlardı .,sıra sıra,sıra_sıra
"batı , o büyük kaynaktan sık sık faydalanır ama iktibaslarını titizce saklar .",sık sık,sık_sık
tükürük bezleri tükürük yapar .,tükürük bezleri,tükürük_bezleri
üç buçuk senedir ben bu sallantıya şahit oldum .,üç buçuk,üç_buçuk
"beyaz ipek pantolon , kavuniçi ipek gömlek giyinmiş ; saçları saman sarısı , teni pembe .",saman sarısı,saman_sarısı
herhangi bir samimiyet bile mutlaka hakikat demek değildir .,herhangi bir,herhangi_bir
"yatağının içinde , sancılı bir adam gibi dönüp durdu .",adam gibi,adam_gibi
"sandukanın yeşil çuhasına başını dayadığında , sanki bir el saçlarını okşayıp teskin edecekti onu .",bir el,bir_el
"ne olur sanki , sen de gelsen ?",ne olur,ne_olur
bir küçük çekmeceden sapı fil dişi bir revolver çıkarmıştı .,fil dişi,fil_dişi
"cebine sakız gibi kuru üzümü doldurdun mu elde sapan , incir kuşu avına çıkarsın .",incir kuşu,incir_kuşu
"cebine sakız gibi kuru üzümü doldurdun mu elde sapan , incir kuşu avına çıkarsın .",sakız gibi,sakız_gibi
mahfeye o kadar ok saplanmıştı ki gören onu kocaman bir kirpi sanabilirdi .,o kadar,o_kadar
sarayın içine girmiş olanlar bir bir süngülendiler .,bir bir,bir_bir
ortalık sarı bir toz bulutu içinde .,toz bulutu,toz_bulutu
"bu ülkede mevsimler de , çağlar da , inançlar da sarmaş dolaş .",sarmaş dolaş,sarmaş_dolaş
her hadisenin rüzgârı onun gergin sinirlerini derin derin sarsmıştır .,derin derin,derin_derin
bu türlü hak savunucularının türlüsüyle karşılaştım hayatımda .,bu türlü,bu_türlü
elektrik saati .,elektrik saati,elektrik_saati
evlerine gelen misafire saygısızlık etmek törelerinde yoktu .,saygısızlık etmek,saygısızlık_etmek
ne yaman esiyor şad'ın sazağı / kahpe felek bize kurdu tuzağı,kahpe felek,kahpe_felek
köşkte sık sık sazlı toplantılar olurmuş .,sık sık,sık_sık
sebepsizce ağlamamak hayatta nafile yere katlandığımız mahrumiyetlerden biridir .,nafile yere,nafile_yere
seçmenlerine meraklı insanların yufka yürekli olduklarına dair düşüncelerini açtı .,yufka yürekli,yufka_yürekli
güner'i her gün tekerlekli bir sedyeyle ışın tedavisine indirirdim hastanede .,her gün,her_gün
i̇ki seferlik yol parası .,yol parası,yol_parası
sefiremizin tiyatrosever oluşu konuşmalara daha da revnak verdi,daha da,daha_da
eser seher yeli zülfün dağıtır / gerdana dökülen tel incinmesin,seher yeli,seher_yeli
"ellerinde çantalı , küçük yiyecek paketleriyle , kadınlı erkekli bir memur seli , ulus meydanı'na doğru akıyor .",kadınlı erkekli,kadınlı_erkekli
kusursuz bir senaryoyu adım adım oynuyor .,adım adım,adım_adım
"orada kaldırım , baştan başa balık pulları ile örtülüdür .",baştan başa,baştan_başa
"bir ara ortalık serbestlemiş , bir şey olmuş .",bir ara,bir_ara
enine boyuna birçok deliller serdetti .,enine boyuna,enine_boyuna
"yorgun ve bitkin , korkudan tir tir titrer bir hâlde salın üstüne serildik .",tir tir,tir_tir
çerçeveli çerçevesiz bir sürü fotoğraf çıkarıp masanın üzerine serdi .,bir sürü,bir_sürü
"saçları perişan , gözleri süzük , sersem sepelek , ağır ağır gelir kapıyı açar .",ağır ağır,ağır_ağır
"saçları perişan , gözleri süzük , sersem sepelek , ağır ağır gelir kapıyı açar .",sersem sepelek,sersem_sepelek
kuş palazı serumu .,kuş palazı,kuş_palazı
"bunun günahı değil , olsa olsa sevabı vardır .",olsa olsa,olsa_olsa
"ertesi sabah , sol kulağımda ağrı ile beraber akıntı başladı .",ile beraber,ile_beraber
o bu kadında daha bir cana yakınlık bulur gibi oluyordu .,cana yakınlık,cana_yakınlık
o bu kadında daha bir cana yakınlık bulur gibi oluyordu .,o bu,o_bu
"böyle günlerde bir iki somun ekmek getirtir , bunları sıcak sıcak büyük parçalara doğrayarak onlara atardı .",bir iki,bir_iki
"böyle günlerde bir iki somun ekmek getirtir , bunları sıcak sıcak büyük parçalara doğrayarak onlara atardı .",sıcak sıcak,sıcak_sıcak
karı koca o evlerden birinde bir odacığa sığınmıştık .,karı koca,karı_koca
balolarda da bir sıhhi imdat ekibine ihtiyaç olabileceği nereden akla gelir ?,sıhhi imdat,sıhhi_imdat
"neydi onunla böyle sıkı fıkı baş başa vermen , gizli planlar kuracak tenha köşelere çekilmen ?",baş başa,baş_başa
"neydi onunla böyle sıkı fıkı baş başa vermen , gizli planlar kuracak tenha köşelere çekilmen ?",sıkı fıkı,sıkı_fıkı
"i̇çinin sıkıntısını mümkün mertebe gizlemeye çalışarak , dereden tepeden konuşarak oyalandı .",mümkün mertebe,mümkün_mertebe
daima sıkı sıkı kapalı demir kepenkler işlerini göremez hâle geliyorlardı .,sıkı sıkı,sıkı_sıkı
"i̇stanbul tren yahut vapurunda hele bir kimseyi biraz sıkıştırın , hemen çarpılır , çay semaveri gibi oturduğu yerde fıkır fıkır kaynamaya başlar .",hele bir,hele_bir
"i̇stanbul tren yahut vapurunda hele bir kimseyi biraz sıkıştırın , hemen çarpılır , çay semaveri gibi oturduğu yerde fıkır fıkır kaynamaya başlar .",fıkır fıkır,fıkır_fıkır
"zaten bünyesi pek sağlam değildi , sık sık hastalanıyordu .",sık sık,sık_sık
"sılacıların hepsi , durmuş gibi on parasız evlerine döndüler .",on parasız,on_parasız
"gelin çıtı pıtı , esmer güzeli , sıpsıcak bir kızdı .",çıtı pıtı,çıtı_pıtı
keşke bu sefer de kazayı bir sıra dayağı ile savuştursa .,bir sıra,bir_sıra
keşke bu sefer de kazayı bir sıra dayağı ile savuştursa .,bu sefer,bu_sefer
"i̇zmir'de o semtin kimi varsa hepsi o sokağa dökülmüş , damlardan sarkmış , sel boşanır gibi sıram sıram bağırıp alkışlıyorlar .",sıram sıram,sıram_sıram
kafa kemiklerine varıncaya kadar her yanı sızlıyordu .,varıncaya kadar,varıncaya_kadar
dağlık bir hudut bölgesinde çıkan ve karşı topraktan sızan yabancı çetelerin yardımıyla günden güne ciddi bir hâl alan alçak bir isyanın bastırılmasıydı .,günden güne,günden_güne
"yaprak sigarasını , bir hamam böceği gibi çıtır çıtır ezerek ona dedi , tutuldum desem bana kızar mısın ?",çıtır çıtır,çıtır_çıtır
"yaprak sigarasını , bir hamam böceği gibi çıtır çıtır ezerek ona dedi , tutuldum desem bana kızar mısın ?",hamam böceği,hamam_böceği
beni ikna etmek için bütün silahlarını kullandı,ikna etmek,ikna_etmek
"avcı , elinde ipi silkeleyerek yavaş yavaş ağını çekiyordu .",yavaş yavaş,yavaş_yavaş
öküzler sağa sola bakınır / göz kırpar sineklenir,sağa sola,sağa_sola
"bu kadın ne kadar inatçı , sinsi bir kadın !",ne kadar,ne_kadar
bu husus el altından soruldu .,el altından,el_altından
kalküta'yı süt mavisi bir akşam sisi kaplıyor .,süt mavisi,süt_mavisi
"son sistem , pırıl pırıl bir rotatif almışlar .",pırıl pırıl,pırıl_pırıl
ruhsar tatlı ama sitemli bakışıyla susturmasa bacı daha kim bilir ne kadar konuşacak .,kim bilir,kim_bilir
ruhsar tatlı ama sitemli bakışıyla susturmasa bacı daha kim bilir ne kadar konuşacak .,ne kadar,ne_kadar
bu sohbet ustası radyo aracılığıyla tüm türkiye'yi ağzına baktıran bir millî kahve ağabeyi hâline gelivermişti .,kahve ağabeyi,kahve_ağabeyi
bu sohbet ustası radyo aracılığıyla tüm türkiye'yi ağzına baktıran bir millî kahve ağabeyi hâline gelivermişti .,sohbet ustası,sohbet_ustası
sokak çocuklarını bir muzırlık yapmasınlar diye mektep çocukları gibi ikişer ikişer tabura sokarak bahçeden geçirdi .,ikişer ikişer,ikişer_ikişer
sokaktaki adam bu konuda ne düşünüyor ?,sokaktaki adam,sokaktaki_adam
"soluduğum duman havaya karışırken aniden , kendiliğinden , küçük , bit kadar küçücük bir fikir geldi aklıma .",bit kadar,bit_kadar
"ne olursa olsun tanrılaşır , ölümsüzleşir , o tiyatroda .",ne olursa olsun,ne_olursa_olsun
"anayasamız sosyal devlet , sosyal adalet temel ilkelerine dayanıyor .",sosyal devlet,sosyal_devlet
"önce soyu sopu düşünüyorum , adamların soy kütüklerini artık bilmem hangi tarihe kadar çıkarıyorum .",bilmem hangi,bilmem_hangi
başını kapının taş sövesine koyup bir mektep çocuğu gibi bağıra bağıra ağlamak istiyordu .,mektep çocuğu,mektep_çocuğu
"rakısından mı , mezesinden mi yoksa söyleşilerin bal kıvamı kazanıp tatlı tatlı ağdalaşmasından mı , nedense .",tatlı tatlı,tatlı_tatlı
"bir aralık elinde tahta çantalı birisi , kahvenin önündeki halka karşı bir söylev çekmeye başladı .",bir aralık,bir_aralık
şarkının sözleri çok anlamlı .,çok anlamlı,çok_anlamlı
"hacı ömer , beni bir kere de bir söz rüşveti ile yemlemeye çalıştı .",söz rüşveti,söz_rüşveti
"hacı ömer , beni bir kere de bir söz rüşveti ile yemlemeye çalıştı .",bir kere,bir_kere
o eski sportif atletik gücünüz gün günden azalmaktadır .,gün günden,gün_günden
portakal suyu .,portakal suyu,portakal_suyu
hırsızlıkla veya suistimalle elde ettiğini iddia etmek doğru olmaz .,iddia etmek,iddia_etmek
sabah sabah beş milyon lirayı suladık .,sabah sabah,sabah_sabah
"i̇lk çağın insanları sunu niyetine öd ağacı gibi , günlük gibi güzel koku saçan bitkiler yakarlardı .",öd ağacı,öd_ağacı
"çenelileri hor görmemeliyiz , gereğinde söze atılmak , konuşmak hatta epeyce konuşmak suspus oturmaktan yeğdir .",söze atılmak,söze_atılmak
"güveyi kırmızı kravatı , mavi elbisesi , fazla çıkmış ipek mendiliyle süklüm püklüm oturuyordu .",süklüm püklüm,süklüm_püklüm
onun ilk nutkunu rutubete bırakılmış bir sünger gibi iliklerime kadar içerek dinledim .,sünger gibi,sünger_gibi
"süngülü düşman askerleri arasında başı açık kadınlar , yalın ayak çocuklar bir kasırgaya tutulmuş gibi tozu dumana katarak koşuşuyorlardı .",yalın ayak,yalın_ayak
"süngülü düşman askerleri arasında başı açık kadınlar , yalın ayak çocuklar bir kasırgaya tutulmuş gibi tozu dumana katarak koşuşuyorlardı .",başı açık,başı_açık
bu kumaş kolay kolay sünmez .,kolay kolay,kolay_kolay
bu caminin hoparlör düzeni ve halıları için elektrik süpürgesi bile var .,elektrik süpürgesi,elektrik_süpürgesi
"satılamayan ne kadar bayat , bozuk mal varsa pansiyonerlere sürerler .",ne kadar,ne_kadar
kalküta'yı süt mavisi bir akşam sisi kaplıyor .,süt mavisi,süt_mavisi
bin atlı akınlarda çocuklar gibi şendik / bin atlı o gün dev gibi bir orduyu yendik,dev gibi,dev_gibi
süzme bal .,süzme bal,süzme_bal
bir ara yandaki masada oturan adamın beni süzdüğünü sezinledim .,bir ara,bir_ara
bir daha vurdum ve cevap alamayınca her zaman yaptığım gibi usulca kapıyı açıp içeri süzüldüm .,her zaman,her_zaman
bir daha vurdum ve cevap alamayınca her zaman yaptığım gibi usulca kapıyı açıp içeri süzüldüm .,bir daha,bir_daha
"kara saban , traktörün yanında , koca bir şahmerdana nispetle küçücük bir çekiç .",kara saban,kara_saban
"kumaş , şahrem şahrem ayrıldı .",şahrem şahrem,şahrem_şahrem
