sentence_id,sentence_text,pred_tokens
2607,"Davullar dövüldü , zurnalar halay havaları üfürdü , düğün dernek kutlandı .","Davullar dövüldü , zurnalar halay havaları üfürdü , düğün_dernek kutlandı ."
2621,"Bakınız , tesadüf bunu ne kadar güzel düşünüp halletti .","Bakınız , tesadüf bunu ne_kadar güzel düşünüp halletti ."
2624,"Yirmi otuz sene evvel bunun farkında olaydım elbet hamal camal demez , onu birine verirdim .","Yirmi otuz sene evvel bunun farkında olaydım elbet hamal_camal demez , onu birine verirdim ."
2625,"Sense alık karı , evde , sokakta hamam anası gibi gezersin .","Sense alık karı , evde , sokakta hamam_anası gibi gezersin ."
2660,Siyah araba ağır ağır hareket etti,Siyah araba ağır_ağır hareket etti
2661,Hizmetime bir harem ağası ile bir Çerkez halayık tayin edilmişti .,Hizmetime bir harem_ağası ile bir Çerkez halayık tayin edilmişti .
2677,Onun köyde bin türlü hasislik ettiği hâlde İzmir'de bol bol harcettiğini duymuşlardı .,Onun köyde bin_türlü hasislik ettiği hâlde İzmir'de bol_bol harcettiğini duymuşlardı .
2687,"Böylelerini dinlediğimizde , belleğimizde sözleri , hiç mi hiç , kalmaz .","Böylelerini dinlediğimizde , belleğimizde sözleri , hiç_mi_hiç , kalmaz ."
2688,Hatırını sormak .,Hatırını_sormak .
2696,Oda her gün havalanmalı .,Oda her_gün havalanmalı .
2709,Hayal meyal şeylerden ilk aşkımız / Hatırası bile yabancı gelir,Hayal_meyal şeylerden ilk aşkımız / Hatırası bile yabancı gelir
2713,O kadar genç o derece hayatiyetli ki gelecek yıllar kendisine tehlikeli görünmemektedir .,O_kadar genç o derece hayatiyetli ki gelecek yıllar kendisine tehlikeli görünmemektedir .
2716,Ne kadar yaşayabilirdim ?,Ne_kadar yaşayabilirdim ?
2718,"Onun , alçak gönüllülük ve hayırhahlık taşan yüzünü görünce hayatın bir çıkar yarışması olmadığına iman getirirdiniz .","Onun , alçak_gönüllülük ve hayırhahlık taşan yüzünü görünce hayatın bir çıkar yarışması olmadığına iman getirirdiniz ."
2732,O gece mehtaba çıkmak için bir hayli evvelinden başlayan tatlı bir hazırlık devresi vardı .,O gece mehtaba_çıkmak için bir_hayli evvelinden başlayan tatlı bir hazırlık_devresi vardı .
2734,"Bilen bilir , kolay okunan yazar değildir , hazret .","Bilen_bilir , kolay okunan yazar değildir , hazret ."
2736,"Kendisine eski bir alfabe kitabı bulmuş , ara sıra heceliyor .","Kendisine eski bir alfabe kitabı bulmuş , ara_sıra heceliyor ."
2743,Hele hele söyle !,Hele_hele söyle !
2744,Aliş'in miğferinden çıkan marpuç yukarıya doğru bir yılan gibi helezonlaşıyordu .,Aliş'in miğferinden çıkan marpuç yukarıya doğru bir yılan_gibi helezonlaşıyordu .
2747,Çanakkale'de hemen hemen bir milyonluk düşman ordusu eritildi .,Çanakkale'de hemen_hemen bir milyonluk düşman ordusu eritildi .
2753,Herhangi biri gelsin .,Herhangi_biri gelsin .
2756,"Yatık Emine misin , Yanık Emine mi , her ne herzeyse bana onun lüzumu yok .","Yatık Emine misin , Yanık Emine mi , her_ne herzeyse bana onun lüzumu yok ."
2763,Bu hususta hesapsız kitapsız bol para sarf ediyordu .,Bu hususta hesapsız_kitapsız bol para sarf ediyordu .
2772,Beni biraz hımhım konuşan fakat gözleri fıldır fıldır bir komiserin önüne götürdüler .,Beni biraz hımhım konuşan fakat gözleri fıldır_fıldır bir komiserin önüne götürdüler .
2778,Yalnız miralayın sağ bacağını bir gülle misketi fena halde hırpalamış .,Yalnız miralayın sağ bacağını bir gülle misketi fena_halde hırpalamış .
2796,Üç senedir günü gününe hissiyatımı yazıyorum .,Üç senedir günü_gününe hissiyatımı yazıyorum .
2803,Bu keşiften hoşnutluğumu gizleyebildiğim kadar gizleyip sözüm ona bir ayıplamayla homurdanıyorum .,Bu keşiften hoşnutluğumu gizleyebildiğim kadar gizleyip sözüm_ona bir ayıplamayla homurdanıyorum .
2804,Homur homur söyleniyor .,Homur_homur söyleniyor .
2805,Bu caminin hoparlör düzeni ve halıları için elektrik süpürgesi bile var .,Bu caminin hoparlör düzeni ve halıları için elektrik_süpürgesi bile var .
2807,Daha az evvel hoplaya zıplaya doruklarında dolaştığı mutluluktan tepetaklak yuvarlanıvermişti .,Daha az evvel hoplaya_zıplaya doruklarında dolaştığı mutluluktan tepetaklak yuvarlanıvermişti .
2814,Yeni ilişkisinden son derece hoşnut ve ilk bebeğine veremediği tüm sevgiyi ikincisine vermekte kararlıydı .,Yeni ilişkisinden son_derece hoşnut ve ilk bebeğine veremediği tüm sevgiyi ikincisine vermekte kararlıydı .
2819,Görsün bir hukukçuyu başından savmak kolay mıymış !,Görsün bir hukukçuyu başından_savmak kolay mıymış !
2821,Onun hummalar içinde yatan güzel yüzünü görünce hüzün ve rikkatinden yanaklarına akan bir iki damla yaşı tutamadı .,Onun hummalar içinde yatan güzel yüzünü görünce hüzün ve rikkatinden yanaklarına akan bir_iki damla yaşı tutamadı .
2830,"Oysa verdiğim her söz , içini rahatlatmak şöyle dursun , huzursuzluğunu bir kat daha artırdı sanki .","Oysa verdiğim her söz , içini rahatlatmak şöyle_dursun , huzursuzluğunu bir kat daha artırdı sanki ."
2832,"Onun çıkardığı Yarım Ay'da yine pırıltılı , hücumcu yazıları ile güçlü bir kalem savaşçısı kesildi .","Onun çıkardığı Yarım Ay'da yine pırıltılı , hücumcu yazıları ile güçlü bir_kalem savaşçısı kesildi ."
2842,Bembeyaz bulutlar kırmızılaştı / Sonra yavaş yavaş deminki renksiz / Göklere renk veren bir ziya taştı / Açılırken hülyalı enginlere biz,Bembeyaz bulutlar kırmızılaştı / Sonra yavaş_yavaş deminki renksiz / Göklere renk veren bir ziya taştı / Açılırken hülyalı enginlere biz
2851,"Bu sabah bulutsuz , ıpıl ıpıl mavi bir gök vardı .","Bu sabah bulutsuz , ıpıl_ıpıl mavi bir gök vardı ."
2865,"Yufka , dedim de canım bir ıspanaklı börek çekti ki .","Yufka , dedim de canım bir ıspanaklı_börek çekti ki ."
2866,Ben hiçbir yerde yemeğe bu kadar ısrar görmedim .,Ben hiçbir yerde yemeğe bu_kadar ısrar görmedim .
2871,Gözleri kamaştıran güneş aydınlığında bu sesler küçük kubbelerin bitmez tükenmez teselsülünü açar ve parıldatırdı .,Gözleri kamaştıran güneş aydınlığında bu sesler küçük kubbelerin bitmez_tükenmez teselsülünü açar ve parıldatırdı .
2874,"Haliç tarafındaki altları ızgaralı , ahşap iki deniz hamamı kuyudan farksız .","Haliç tarafındaki altları ızgaralı , ahşap iki deniz_hamamı kuyudan farksız ."
2876,"Gene hep beraber , bir iki parçadan ibaret bulaşıklarını yıkamaya oturdular .","Gene hep_beraber , bir_iki parçadan ibaret bulaşıklarını yıkamaya oturdular ."
2884,Ekmek içi .,Ekmek_içi .
2887,"Belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide bir düz ayak , yavan konuklarla durmadan işgal edilirse iç dengeleri bozulur .","Belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide_bir düz_ayak , yavan konuklarla durmadan işgal edilirse iç dengeleri bozulur ."
2890,Siyah oyuklarında içerlek gözleri sağa sola çevrildi .,Siyah oyuklarında içerlek gözleri sağa_sola çevrildi .
2892,"Zincirlerin ucunda da bir saçaklı süs , iç içe birkaç halka .","Zincirlerin ucunda da bir saçaklı süs , iç_içe birkaç halka ."
2893,Bu çayın rengi yok ama içimi iyi .,Bu çayın rengi_yok ama içimi iyi .
2906,arslan - aslan .,arslan aslan .
2926,"Vakit akşamdı , iftar topu atılmış , elektrikler yanmıştı .","Vakit akşamdı , iftar_topu atılmış , elektrikler yanmıştı ."
2927,Çengelli iğne .,Çengelli_iğne .
2940,Bizim yalnız sanat ve edebiyatta bu aksiyomu fazla ihtiyat kaydı ile ve mahdut manasıyla almamız lazımdır .,Bizim yalnız sanat ve edebiyatta bu aksiyomu fazla ihtiyat_kaydı_ile ve mahdut manasıyla almamız lazımdır .
2945,"Bütün yaz tarlanızda ter döktüm , çoluk çocuğumla iki büklüm çalıştım .","Bütün yaz tarlanızda ter döktüm , çoluk çocuğumla iki_büklüm çalıştım ."
2946,"Derhâl erkek hizmetçiler rıhtıma seğirtir , iki geçeli dizilir , divan durur .","Derhâl erkek hizmetçiler rıhtıma seğirtir , iki_geçeli dizilir , divan durur ."
2947,"Başı ikiye ayırırlardı , bu sefer de baş ikileşirdi .","Başı ikiye ayırırlardı , bu_sefer de baş ikileşirdi ."
2949,"Tevfik'in alçak gönüllü , hep ikinci planda kalma olgunluğundaki pişekârlığı Dümbüllü'ye sanatını en iyi değerlendirme olanağını sağlardı .","Tevfik'in alçak_gönüllü , hep ikinci planda kalma olgunluğundaki pişekârlığı Dümbüllü'ye sanatını en iyi değerlendirme olanağını sağlardı ."
2950,Yeni ilişkisinden son derece hoşnut ve ilk bebeğine veremediği tüm sevgiyi ikincisine vermekte kararlıydı .,Yeni ilişkisinden son_derece hoşnut ve ilk bebeğine veremediği tüm sevgiyi ikincisine vermekte kararlıydı .
2953,"korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .","korkuya , hiç_değilse çekintiye benzeyen bir şey de getiriyordu ."
2954,"Canı sıkılan , görevi gereği de bir türlü tam uykuya geçemeyen sürücü yardımcısı , ikircikli bakıyor .","Canı sıkılan , görevi gereği de bir_türlü tam uykuya geçemeyen sürücü yardımcısı , ikircikli bakıyor ."
2955,"Kocasının zayıf bir adam olduğunu bilmez miydi , bilirdi , şimdi bir de ikiyüzlü olduğunu gözleriyle görüyordu .","Kocasının zayıf bir adam olduğunu bilmez miydi , bilirdi , şimdi bir_de ikiyüzlü olduğunu gözleriyle görüyordu ."
2975,İşçileri ilgilendiren bir karar .,İşçileri ilgilendiren bir_karar .
2978,Şu kısacık ömrümüzde ekmek kavgası / Hodkâmlığın çekişmesi vicdan azabı,Şu kısacık ömrümüzde ekmek_kavgası / Hodkâmlığın çekişmesi vicdan azabı
2979,Onun ilk nutkunu rutubete bırakılmış bir sünger gibi iliklerime kadar içerek dinledim .,Onun ilk nutkunu rutubete bırakılmış bir sünger_gibi iliklerime kadar içerek dinledim .
2982,"Listelere ilişik açıklama , sabaha karşı aldığı bir telgraf kadar şaşırtıcıydı .","Listelere ilişik açıklama , sabaha_karşı aldığı bir telgraf kadar şaşırtıcıydı ."
2992,"Abartmadığından , duygusal bir yanılsamanın söz konusu olmadığından emindi .","Abartmadığından , duygusal bir yanılsamanın söz_konusu olmadığından emindi ."
2995,Şimdi bir de tavsiyeden iltimastan bahsediyorlar .,Şimdi bir_de tavsiyeden iltimastan bahsediyorlar .
3001,"Ona en büyük sırrını faş etmek , ona şimdi yukarıda , kocasının yanı başında yemek yiyen Güzide'yi göstermek istemişti .","Ona en büyük sırrını faş_etmek , ona şimdi yukarıda , kocasının yanı_başında yemek yiyen Güzide'yi göstermek istemişti ."
3002,"Benim evimde ilkyaz , lavanta çiçeği torbacıklarının boşaltılıp yeniden doldurulmasıyla başlar .","Benim evimde ilkyaz , lavanta_çiçeği torbacıklarının boşaltılıp yeniden doldurulmasıyla başlar ."
3015,Her tarafını inceden inceye araştırıyorlar gümrükte .,Her tarafını inceden_inceye araştırıyorlar gümrükte .
3019,Tam öğle vakti incirlikte iğne atsanız düşecek yer kalmamıştı .,Tam öğle_vakti incirlikte iğne atsanız düşecek yer kalmamıştı .
3025,"Türkiye Büyük Millet Meclisi üyeleri , yürütme organının teklif , inha , atama veya onamasına bağlı resmî ve özel herhangi bir işle görevlendirilemez .","Türkiye Büyük_Millet_Meclisi üyeleri , yürütme organının teklif , inha , atama veya onamasına bağlı resmî ve özel herhangi_bir işle görevlendirilemez ."
3026,"Bu büyüklü küçüklü insanların birbirlerine düşkünlüğü , tek taraflı , inhisarcı bir sevgi ve alaka değildi .","Bu büyüklü_küçüklü insanların birbirlerine düşkünlüğü , tek_taraflı , inhisarcı bir sevgi ve alaka değildi ."
3030,"Büzülüp kaldığım köşede sabahın bir an evvel olmasını , güneşin bir saat evvel arza inmesini bekliyorum .","Büzülüp kaldığım köşede sabahın bir_an evvel olmasını , güneşin bir_saat_evvel arza inmesini bekliyorum ."
3042,"İnsan sarrafı olacaksın , bileceksin adamına göre iş yapmasını , laf etmesini !","İnsan_sarrafı olacaksın , bileceksin adamına_göre iş yapmasını , laf etmesini !"
3043,Ne var ki tıpkı temizlik yapışı gibi bu hareketi de tutarlılıktan yoksundu .,Ne_var_ki tıpkı temizlik yapışı gibi bu hareketi de tutarlılıktan yoksundu .
3050,"Altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .","Altın çizgili , yemyeşil ipek kravatı ne_olursa_olsun almalıydı ."
3052,"Başı bir yana düşüverdi , başladı ağzından iplik iplik kan sızmaya .","Başı bir_yana düşüverdi , başladı ağzından iplik_iplik kan sızmaya ."
3053,"Çoktandır , ipsiz sapsızlarla düşe kalka onların dilini kapmışım .","Çoktandır , ipsiz sapsızlarla düşe_kalka onların dilini kapmışım ."
3055,Günlük gazetelerimizin dilinden anlamak için yanımızda irili ufaklı lügat kitapları taşıyacağız .,Günlük gazetelerimizin dilinden_anlamak için yanımızda irili_ufaklı lügat kitapları taşıyacağız .
3062,Bu arada iskarpininin teki kuyuya düşer .,Bu_arada iskarpininin teki kuyuya düşer .
3079,"Gül Hanım'a balık yağı içirmek istenilmiş , şişesi bulunmuş , kaşığa konmuş yahut konmak istenilmiş , bu sırada şişe devrilmiş .","Gül Hanım'a balık_yağı içirmek istenilmiş , şişesi bulunmuş , kaşığa konmuş yahut konmak istenilmiş , bu sırada şişe devrilmiş ."
3080,"Ama içten gelme ferah bir gülüşle değil de sinirli , isterik bir gülüşle güldü .","Ama içten_gelme ferah bir gülüşle değil de sinirli , isterik bir gülüşle güldü ."
3081,"Kem dedik , küm dedik , olmadı , ister istemez sahneyi boyladık .","Kem dedik , küm dedik , olmadı , ister_istemez sahneyi boyladık ."
3084,İstifanameyi okuyanın yüreği parça parça olurdu .,İstifanameyi okuyanın yüreği parça_parça olurdu .
3085,Bir ara Yıldız'ın istihbarat servisinde bulunduğu bile söylenirdi .,Bir_ara Yıldız'ın istihbarat servisinde bulunduğu bile söylenirdi .
3087,"Eniştemiz bizi şahit tuttukça babam da istihzalı bir tavır alır , kıs kıs gülerdi .","Eniştemiz bizi şahit tuttukça babam da istihzalı bir tavır alır , kıs_kıs gülerdi ."
3091,"İstisnasız tüm mezarlar , şehrin başka başka noktalarına taşınabilirdi pekâlâ .","İstisnasız tüm mezarlar , şehrin başka_başka noktalarına taşınabilirdi pekâlâ ."
3093,"İşlerini bırakmışlar , dükkânlarını kapamışlar , akın akın şehri terk edip gidiyorlardı .","İşlerini bırakmışlar , dükkânlarını kapamışlar , akın_akın şehri terk edip gidiyorlardı ."
3096,O bir iki sözcükle bildiğini işaretlemek isterdi .,O_bir iki sözcükle bildiğini işaretlemek isterdi .
3097,"Evliliğim boyunca , saçmalığını ancak şimdi idrak edebildiğim bir iş bölümü vardı Ayşin ile aramızda .","Evliliğim boyunca , saçmalığını ancak şimdi idrak edebildiğim bir iş_bölümü vardı Ayşin ile aramızda ."
3106,Çekiştikleri şey işlemeli bir kitap açacağı .,Çekiştikleri şey işlemeli bir kitap_açacağı .
3112,İşte bu iki adam bir aralık göz göze geldiler .,İşte bu iki adam bir_aralık göz_göze geldiler .
3118,"Bu , insanı yanlış yollara itelese de bir çıkış noktası bulunmasına omuz verebilir .","Bu , insanı yanlış yollara itelese de bir çıkış_noktası bulunmasına omuz verebilir ."
3126,"Bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç dünyalarını açıklayıcı bir yol seçerler .","Bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç dünyalarını açıklayıcı bir_yol seçerler ."
3134,"Koşturduğu , gideceği yere bir an önce varmak için ivedilendiği belli oluyordu .","Koşturduğu , gideceği yere bir_an_önce varmak için ivedilendiği belli oluyordu ."
3135,Ankara'da yer çekimi ivmesi 980 santimetre / saniyekaredir .,Ankara'da yer_çekimi ivmesi 980 santimetre / saniyekaredir .
3155,"İhsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .","İhsan bekleyen bu çanak_yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar ."
3160,Bardağın içindeki maden suyu kabarcıklarının pıtır pıtır söndüğü bile duyuluyordu .,Bardağın içindeki maden_suyu kabarcıklarının pıtır_pıtır söndüğü bile duyuluyordu .
3165,"Kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","Kaba sofular bir_zamanlar uygarlık düşmanlığını , yabancı_dil düşmanlığı ile birleştirmişlerdi ."
3167,Bence şairin asıl sanatı ruh anlarını ifade etmek hususundaki kabiliyetidir .,Bence şairin asıl sanatı ruh anlarını ifade_etmek hususundaki kabiliyetidir .
3171,Her mihnet kabulüm yeter ki / Gün eksilmesin penceremden,Her mihnet kabulüm yeter_ki / Gün eksilmesin penceremden
3174,Dün gece bütün sinirlerimi bir kâbus işkencesinin zoru altına koyan buhranlı saatler yaşadım .,Dün_gece bütün sinirlerimi bir kâbus işkencesinin zoru altına koyan buhranlı saatler yaşadım .
3184,"O kaçın kurası , gürültüye pabuç bırakır mı ?","O kaçın_kurası , gürültüye pabuç bırakır mı ?"
3190,"Öteki çocuklar çil yavrusu gibi kaçışmış , her biri bir deliğe girmişti .","Öteki çocuklar çil yavrusu gibi kaçışmış , her_biri bir deliğe girmişti ."
3197,Bacak kadar çocuk .,Bacak_kadar çocuk .
3198,"Bu merdivenleri , yapıldığı günden beri bu kadar telaşla çıkmamışımdır .","Bu merdivenleri , yapıldığı günden beri bu_kadar telaşla çıkmamışımdır ."
3199,Akşama doğru artan dayanılmaz kokuya rağmen kadavra üzerinde tam iki gün aralıksız çalıştı .,Akşama_doğru artan dayanılmaz kokuya rağmen kadavra üzerinde tam iki gün aralıksız çalıştı .
3200,Asıl dostluğumuz bu üç dört saatlik kadeh arkadaşlığından sonra başlamıştı .,Asıl dostluğumuz bu üç_dört saatlik kadeh arkadaşlığından sonra başlamıştı .
3203,Adlarına kadınana denilen Havva kızlarını biricik can yoldaşı olarak gösteriyordu .,Adlarına kadınana denilen Havva kızlarını biricik can_yoldaşı olarak gösteriyordu .
3207,Kadın ticaretinin bu kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .,Kadın ticaretinin bu_kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .
3216,"Bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .","Bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol_bol zamana ihtiyacı vardır ."
3218,Kuş kafesi .,Kuş_kafesi .
3224,Yazı kâğıdı .,Yazı_kâğıdı .
3226,"Hiç kâğıt oyunu oynamazken birkaç aydır altmışaltıya alıştırmışlar , sıra ile yenip duruyorlardı .","Hiç kâğıt_oyunu oynamazken birkaç aydır altmışaltıya alıştırmışlar , sıra_ile yenip duruyorlardı ."
3229,F. R. Atay'a bu mücadeleyi kazanacağımızı kâhinler haber vermediler .,F . R . Atay'a bu mücadeleyi kazanacağımızı kâhinler haber vermediler .
3231,Böyle kahpelikle iş görmek mertliğe yakışmaz .,Böyle kahpelikle iş_görmek mertliğe yakışmaz .
3235,Bu sohbet ustası radyo aracılığıyla tüm Türkiye'yi ağzına baktıran bir millî kahve ağabeyi hâline gelivermişti .,Bu sohbet_ustası radyo aracılığıyla tüm Türkiye'yi ağzına baktıran bir millî kahve_ağabeyi hâline gelivermişti .
3242,"Kakalamaktan parmak uçları delik deşik terzi çırakları , kalfalar .","Kakalamaktan parmak uçları delik_deşik terzi çırakları , kalfalar ."
3244,Pirinç kakmaları donuk donuk ışıldayan hamam kapısını iterek içeri girdi .,Pirinç kakmaları donuk_donuk ışıldayan hamam kapısını iterek içeri girdi .
3250,Okulun kapanmasına kala kala iki hafta kaldı .,Okulun kapanmasına kala_kala iki hafta kaldı .
3252,"Pencereye , elinde yeni kalaydan çıkmış bir bakır sahanla orta yaşlı kadın geldi .","Pencereye , elinde yeni kalaydan çıkmış bir bakır sahanla orta_yaşlı kadın geldi ."
3267,Kalıbına bakarsan aslan gibi .,Kalıbına bakarsan aslan_gibi .
3273,"İstemeye istemeye , altüst olmuş yataktan kalktım .","İstemeye_istemeye , altüst olmuş yataktan kalktım ."
3276,"Ne zaman kalkacağını , nereye gömüleceğini bilmek , bildirmek mümkün değil .","Ne_zaman kalkacağını , nereye gömüleceğini bilmek , bildirmek mümkün değil ."
3285,"Refika , valide , iki kerime kaldık mı biz iki bin kuruş tekaüt maaşına .","Refika , valide , iki kerime kaldık mı biz iki_bin kuruş tekaüt maaşına ."
3288,"Onu geri almak ve Bulgaristan'ın yenildiğini görmekle , kalp acılarını dindirmiştik .","Onu geri_almak ve Bulgaristan'ın yenildiğini görmekle , kalp acılarını dindirmiştik ."
3291,Benim hayatımda iz bıraktığı kadar anamın kalp hastası olmasına belki de ölümüne sebep oldu .,Benim hayatımda iz bıraktığı kadar anamın kalp hastası olmasına belki_de ölümüne sebep oldu .
3294,"Bu bıçak , sapına bez sarılmış , küçük çapta bir kamaydı .","Bu bıçak , sapına bez sarılmış , küçük_çapta bir kamaydı ."
3296,"Masa başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .","Masa başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o_kadar ."
3299,"Bu adam herhâlde çok çirkin , uzun burunlu , kambur zambur bir şey olmalıydı .","Bu adam herhâlde çok çirkin , uzun burunlu , kambur_zambur bir şey olmalıydı ."
3304,Toplama kampı .,Toplama_kampı .
3312,"Burun kanaması , diş kırılması , ötede beride ufak tefek sıyrıklar ve şişler .","Burun kanaması , diş kırılması , ötede_beride ufak_tefek sıyrıklar ve şişler ."
3313,Bir kere gözlerime baksanız anlardınız / Sizin için kalbimde canlanan emelleri,Bir_kere gözlerime baksanız anlardınız / Sizin için kalbimde canlanan emelleri
3314,Bir daldan hızla geçip gitti bir kuş kanadı / Sessizlik bir tüy gibi bir dakika sallandı / Pırıldadı bir ateş böceği sarmaşıkta,Bir daldan hızla geçip gitti bir kuş_kanadı / Sessizlik bir tüy_gibi bir dakika sallandı / Pırıldadı bir ateş_böceği sarmaşıkta
3325,"Köpek siyah beyaz karışık uzun tüylü bir kaniş , kedi kaplan postlu , yeşil gözlü bir tekir .","Köpek siyah_beyaz karışık uzun tüylü bir kaniş , kedi kaplan postlu , yeşil gözlü bir tekir ."
3334,Kantoculuk üzerine tartışmayı bal gibi önlemişti .,Kantoculuk üzerine tartışmayı bal_gibi önlemişti .
3335,"Dünyanın en büyük kanunu , nefsini müdafaa ve muhafaza etmek için karnını doyurmaktır .","Dünyanın en büyük kanunu , nefsini müdafaa ve muhafaza_etmek için karnını doyurmaktır ."
3336,Anayasa Mahkemesi . kanun koyucu gibi hareketle yeni bir uygulamaya yol açacak biçimde hüküm tesis edemez .,Anayasa Mahkemesi . kanun_koyucu gibi hareketle yeni bir uygulamaya yol açacak biçimde hüküm tesis edemez .
3341,"Ne dediği bilinmez , anlaşılmaz kapalı kutu şiirleri öpüp başımıza koymak lazım geliyor .","Ne dediği bilinmez , anlaşılmaz kapalı_kutu şiirleri öpüp başımıza koymak lazım geliyor ."
3355,"Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı kulu , riyakâr , adi bir nesil türedi .","Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı_kulu , riyakâr , adi bir nesil türedi ."
3358,"Her seferinde kıyasıya kapıştıklarını , nahak yere kalp kıracaklarını sanıyor .","Her seferinde kıyasıya kapıştıklarını , nahak_yere kalp kıracaklarını sanıyor ."
3362,Yorgan kaplamak .,Yorgan_kaplamak .
3370,"Başkasını seçselerdi , o kaptan , ben de seve seve dalgıç ya da hava verici makineci olurdum .","Başkasını seçselerdi , o kaptan , ben de seve seve dalgıç ya_da hava verici makineci olurdum ."
3376,Bu kara ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .,Bu kara ağızlıların yüzde_yüz sahteci ve yalancı olduklarını bilir .
3379,"Karaca kuruca , ufak tefek bir kadındı .","Karaca_kuruca , ufak_tefek bir kadındı ."
3381,"Gayet iyi kara düzen çalardı , gür bir sesle eski türküler söylerdi .","Gayet iyi kara_düzen çalardı , gür bir sesle eski türküler söylerdi ."
3384,Karaktersizliklerini bütün dünyaya ilan için mütemadiyen yeni yeni cemiyetler kuruyorlar .,Karaktersizliklerini bütün dünyaya ilan için mütemadiyen yeni_yeni cemiyetler kuruyorlar .
3399,Yüzünde kara sarı bir renk arada bir değişiyordu .,Yüzünde kara_sarı bir renk arada_bir değişiyordu .
3401,Daha sonra karbonat yerine asit borik yutmak suretiyle bir sersemlik ettim .,Daha sonra karbonat yerine asit_borik yutmak suretiyle bir sersemlik ettim .
3404,"Ne var ki banyo kapısının sürgüsü tutuk , kilidi de kırık olduğundan , kolu indirerek dışarı çıkmayı başarmıştı her seferinde .","Ne_var_ki banyo kapısının sürgüsü tutuk , kilidi de kırık olduğundan , kolu indirerek dışarı çıkmayı başarmıştı her seferinde ."
3405,Onu karga tulumba götürdüler .,Onu karga_tulumba götürdüler .
3408,Oğulları Amerika'ya kaçtığından beri karı koca ismini bile ağızlarına almıyorlardı .,Oğulları Amerika'ya kaçtığından beri karı_koca ismini bile ağızlarına almıyorlardı .
3409,Şuursuz bir acele ile mahmuzlarını atının karnına vurdu .,Şuursuz bir acele_ile mahmuzlarını atının karnına vurdu .
3411,Adamcağızın ara sıra ayakları karıncalandıkça dolaşacak bir yeri bile yok .,Adamcağızın ara_sıra ayakları karıncalandıkça dolaşacak bir yeri bile yok .
3413,"Bana ne , bu bir yığın ne olduğunu anlamadığım , karışık dolambaçlı işten !","Bana ne , bu bir_yığın ne olduğunu anlamadığım , karışık dolambaçlı işten !"
3416,"Ceplerimi karıştırdım , bozuk para bulamadım .","Ceplerimi karıştırdım , bozuk_para bulamadım ."
3420,"Grip salgınının , göğse bir taş gibi oturan bronşitin bütün sebebi havanın bir türlü karlayamamasında , karın yağmamasındaymış .","Grip salgınının , göğse bir taş_gibi oturan bronşitin bütün sebebi havanın bir_türlü karlayamamasında , karın yağmamasındaymış ."
3424,"Hiç roman okumamış tanışım , sinema sanatından roman yazma şekillerine kadar birçok karman çorman bilgiyi dağarcığına eklemişti .","Hiç roman okumamış tanışım , sinema sanatından roman yazma şekillerine kadar birçok karman_çorman bilgiyi dağarcığına eklemişti ."
3426,"İstediğim zaman da bu karpuzlardan birini önüme çekip keser , kütür kütür , serin serin yerim .","İstediğim zaman da bu karpuzlardan birini önüme çekip keser , kütür_kütür , serin serin yerim ."
3429,Bir sabaha karşı yine çakal sesleriyle uyanmıştım .,Bir sabaha_karşı yine çakal sesleriyle uyanmıştım .
3432,Sonra temaşa kelimesi doğrudan doğruya tiyatro kelimesinin karşılığı olarak kullanılmıştır .,Sonra temaşa kelimesi doğrudan_doğruya tiyatro kelimesinin karşılığı olarak kullanılmıştır .
3433,"Salıncağın üzerinde karşılıklı ayakta duran kızlar , fıldır fıldır dönüyorlardı .","Salıncağın üzerinde karşılıklı ayakta duran kızlar , fıldır_fıldır dönüyorlardı ."
3435,Basın kartı .,Basın_kartı .
3437,"Benim karton bir türlü dolmuyor , yanımdakinin üçü kaldı , karşımdaki bir tane bekliyor .","Benim karton bir_türlü dolmuyor , yanımdakinin üçü kaldı , karşımdaki bir_tane bekliyor ."
