sentence,gold_mwe
asıl dostluğumuz bu üç dört saatlik kadeh arkadaşlığından sonra başlamıştı .,kadeh arkadaşlığı
kadın ticaretinin bu kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .,kadın ticareti
"bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .",bilim adamı
"bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .",kafa işçisi
f. r. atay'a bu mücadeleyi kazanacağımızı kâhinler haber vermediler .,haber ver
frankfurt'a gece yarısından sonra ikiye yirmi kala vardık .,gece yarısı
arka tekerler alıp başını geçti gitti .,arka teker
yakın köyden kaldırdığı bir yosmayı sarhoş etmekle meşguldü .,sarhoş etmek
"jön türklerle alakası var diye , insanı dünyanın öbür ucuna kalebent ediverirler .",dünyanın öbür ucu
"sermet muhtar , akşam gazetesinin temelli imzalarından biri oldu .",akşam gazetesi
"kallavi fincanını çalkalayıp çalkalayıp diker , dibinde hiç telve bırakmamacasına !",kallavi fincan
çiftlik ana babasından kalmış .,ana baba
"refika , valide , iki kerime kaldık mı biz iki bin kuruş tekaüt maaşına .",tekaüt maaşı
öldürücü bir kalp aksesinin bazen saatlerce sürebileceğini gayet iyi biliyor .,kalp aksesi
"masa başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .",masa başı
bu genç bir deveydi .,bir de
"masasında eski biçim hokkalar , kamış kalemler vardı .",kamış kalem
beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,dinlenme kampı
beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,kimlik kartı
"çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .",bir de
kaptıkaçtı tipi arabası arka tekerlekleri duvara takılı durmuştu .,arka teker
bu kara ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .,kara ağızlı
"hesabın , bütün bu derslerin hepsinin üstünde olması , ömer hocanın kara cümleyi iyice okutmasındandır .",kara cümle
hepsi hasta ve küskün olan bu yurttaşlar da bugünün ağır iktisadi koşullarının kara kışında sefalete terk edilmişlerdi .,kara kış
ayın aksi içinden bir karartı geçiyordu .,bir karar
"bu itibarladır ki ben bu partiler hakkında , aynı gaye için yürüyen kardeş partilerdir diyorum .",kardeş parti
sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise .,bir el
çatık kaşlı adam .,çatık kaş
bu adam benim can düşmanımdır .,can düşmanı
i̇nsanoğlu gerçeğin bir parçasını kavradı mı bütününü kavradığı düşüne kapılır .,bir parça
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .",gelecek zaman
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .",doğru yol
irmak aşağıda bir yandan kayalığın üzerine şarıl şarıl boşanıyor .,bir yanda
"ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim .",bir de
kazasız bir yolculuk .,bir yol
oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,bir an
o zaman kenar semtlerin meşhur türkülerinden biri şu idi .,kenar semt
"kerpiç evler , ipe serili çamaşırlar gibi ay ışığında sallanıyorlar .",ay ışığı
"ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .",ne o
"ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .",ne olacak
yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?,keten helvacı
yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?,keten helva
ahbapları onu bir kır eğlencesine davet etmişler .,kır eğlencesi
beyaz etekliğindeki ekmek kırıntılarını kuşlara serper .,beyaz et
kıyak bir koşu atı .,koşu atı
"küçük dalgalar kimileyin gülüşür , kimileyin ağlaşır , ona göre .",küçük dalga
çevre sağlığını korumak ve çevre kirlenmesini önlemek devletin ve vatandaşların ödevidir .,çevre sağlığı
bu isim bana bir zamanlar i̇stanbul'un en kirli âlemlerinde yuvalanmış bir simayı hatırlattı .,bir zaman
bekçisi kalsın artık bu yurdun ihtiyarlar / koç yiğitler arasın başka güzel diyarlar,koç yiğit
"beraber otururuz , ben de yazılı yoklamaları kolaylarım .",yazılı yoklama
sonra kol demirinin usulca kaldırıldığını duyduk ve aralanan kapıdan içeriye süzüldük .,kol demiri
"frenk gömleğinde , bazen bileklerinden ellerinin üstüne düşen yuvarlak , katı , kolalı kollukları vardı .",frenk gömleği
"kurmay başkanının ailesi , dün kolorduya gideceklerini söylediler .",kurmay başkanı
"en saçma görünen batıl inançlar dahi insanın bir duygusunu , bir davranışını düzenleme gayesini güder .",batıl inanç
bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir de
"bize defineden pay çıkaracak derken bütün urbamızı , saat kordonumuzu , para cüzdanımızı , yeni potinlerimizi üste verdik .",para cüzdanı
kordon boyunun sıcak kaldırımları üstünde akşamın ilk gölgeleri uzanmaya başlamıştı .,kordon boyu
"bu seferler , bu at koşturmalar beyhude değil .",bu sefer
tozlanan ayakkabılarını parlatmak amacıyla arka cebinde koyu kırmızı kadifeden bir bez taşıdı .,koyu kır
"onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor .",bir de
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .",yüz karası
gideyidim çukurova düzüne / uymaz olam kör şeytanın sözüne,kör şeytan
"ailevi bir laubalilikle genç adam , köşe koltuğuna kuruldu .",köşe koltuğu
adamcağız vaktini köşe penceresinde gazetesini okumakla geçirdi .,köşe penceresi
"firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı katına taşındı .",çatı katı
başına kenarları yeşil oyalı mor bir gaz boyaması krep bağlıyordu .,yeşil oy
uzakta bir krupiyenin kalın sesi işitiliyordu .,kalın ses
"on yıl var ayrıyım kına dağı'ndan / baba ocağından , yâr kucağından",baba ocağı
dört tarafı haraca kesen bu kudurmuş oğlanı kodese attırana kadar el birliğiyle çalışacağımıza söz veriyor muyuz ?,el birliği
"yüksek , sur gibi kalın duvarın ardındaki küçük avluya kunt demir kapıdan girilirdi .",demir kapı
i̇nsanlar da görünen dünyanın bir parçası olarak bu kurama girerler .,bir parça
"salih reis , dört kuru duvardan ibaret fukara kapısından gördüğü mavi denize baka baka ölmek istiyordu .",kuru duvar
kuru bir anlatım .,bir an
otlaktan çıktıkları sırada hava kuru soğuktu .,kuru soğuk
kuşluk vaktinin sıcağına rağmen bina loş ve serin .,kuşluk vakti
ben her sene 11 mayısta doğum günümü kutlarım .,doğum günü
"parkın ötesinde berisindeki küçük kuytulukları , bu saatte bazı işsizler işgal ederlerdi .",ötesinde berisinde
küçük hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,küçük hanım
"kadın ağzını açmış , gözünü yummuş , ne nankörlüğünü ne taş yürekliliğini bırakmıştı .",taş yürekli
"babam , paranın üstünü , kürdanlarla birlikte olduğu gibi aldı , cebine koydu ; garsona hiç bahşiş bırakmadı .",paranın üstü
bu labirentte yolumu kaybedip gitmem işten değildi .,işten değil
mekteple ev arasında daima bir lalanın refakatinde gidip gelmeye alıştı .,gidip gelme
"sağlık , levazım gibi geri hizmetlerde çalıştırılıyor , sedye , karavana taşıyorduk .",geri hizmet
kız kardeşi nazime'yi yaşlı bir liman reisi istedi .,kız kardeş
"annemin lohusa yatağı , evin cepheye doğru , sonundaki ön odadaydı .",ön oda
loşça bir köşeye çekilerek ortalığı gözden geçirmekten başka yapacağı bir şey yoktu .,gözden geçirmek
kim demiş onu diye arsız arsız sırıtmış ve lüks mevkiye doğru yürümüş .,lüks mevki
"henüz beş yaşında mahalle mektebinde okurken , öğleye yakın zelzele olmuştu .",mahalle mektebi
onun emrini yerine getirmekten mahkûmane bir zevk alıyor .,yerine getirmek
"odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana bakıyorlardı .",bana bak
"tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim .",bir çift
türk tiyatro tarihi üzerinde çalışanlar için zengin malzeme ihtiva eden metni burada yayınlarken sadece bir iki noktaya işaret etmekle yetineceğim .,iki nokta
türk tiyatro tarihi üzerinde çalışanlar için zengin malzeme ihtiva eden metni burada yayınlarken sadece bir iki noktaya işaret etmekle yetineceğim .,işaret etmek
o marazi psikolojik an geçtikten sonra bunların manalarının ne olduğunu yazan da seçemez .,ne o
"çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .",bir de
"çoğunlukla akşam yemeğinden sonra , sofra kaldırılınca yemek masasında yazardım o öyküleri .",yemek masası
"geçim derdinden , dedikodudan , siyasetten ve takipten uzak bir dokunulmazlık .",geçim derdi
su testisinin ağzına ters kapatılmış maşrapaya su doldurdu .,su testisi
"şimdi ne vakit kendimden başka birisini taklide kalksam bu maskara hayvan aklıma gelir , içimden : maymunlaşmışım , derim .",başka biri
"o , sağ elinin parmaklarını bükerek kulak memesinin altına koymuş , ağzı açıktı .",ağzı açık
"o , sağ elinin parmaklarını bükerek kulak memesinin altına koymuş , ağzı açıktı .",kulak memesi
eğer bir an önce bu işin önüne geçilmezse mendirek bu seneki lodoslarda bir kat daha göçecek .,bir an
manzum teliflerim ve mensur tercümelerimle türk sahnesine ettiğim hizmetin hakikaten bir değeri var mı ?,bir de
büyük annemin sık sık kullandığı bir mesel belleğimde beliriyor .,büyük anne
hâkim ve savcıların . meslek içi eğitimleri . kanunla düzenlenir .,meslek içi eğitim
"ne olursa olsun , bizim vazifemiz cephaneyi topçu mevzilerine yetiştirmektir .",ne o
"ne olursa olsun , bizim vazifemiz cephaneyi topçu mevzilerine yetiştirmektir .",ne olur
"kırk türlü kuru yemişle donanmış masanın ortasına dikilmiş bir ince , ufak mum vardı .",kuru yemiş
"garp medeniyetine girişimiz millî hüviyetimizi yok etmek için değil , onu yaşatmak , geliştirmek içindir .",millî hüviyet
"aynı oyunu , avuç içi kadar bir minyatürden seçilmiş bir köşecikle oynuyorlar .",avuç içi
"anamı , misafir odasını düzeltirken bulurduk .",misafir odası
i̇lmin tatbikatında başarılar sağlayışı insanoğluna pek çok şey vadediyor .,çok şey
"mozaikten tapınaklar yapar , tunçtan kaleler , fil dişinden tahtlar kurarmışsın .",fil dişi
bir denklemde küçük bir eksi artı yanlışı altüst eder eşitliği .,bir de
bu yolda cereyan etmiş olan muhaberattan bazılarını arz etmekliğime müsaadenizi rica ederim .,arz etmek
bu kız tenteli muhacir arabasında tanıştığı kıza da benzemiyor değildi .,muhacir arabası
belgrat paşalığının muhtariyeti hakkında şifahi bir anlaşma yaptı .,bir an
"ruhsar hanım , biri sabunlu , öbürü sadece ıslak iki el beziyle dönmüştü .",el bezi
"okul sadece kafayı değil , kalbi de terbiye etmekle mükelleftir .",terbiye etmek
"eli yüzü karalı , elleri dirseklerine kadar sıvalı mürettipler harıl harıl çalışırlarken arada bana bakıyorlardı .",yüzü kara
"eli yüzü karalı , elleri dirseklerine kadar sıvalı mürettipler harıl harıl çalışırlarken arada bana bakıyorlardı .",bana bak
bu müsamere günündeki selamlama süresince bedenimde bir değişim olmuştu .,bir de
"öteden beri denemişimdir , bu , daima bana bir nahoş vaka haber verir .",haber ver
"bir yandan da necla : ay yoruldu , ay hastalanacak , ay ölecek diye eski nakaratına devam ediyor .",bir yanda
vaktim yok diye namaz niyazı bıraktı .,namaz niyaz
öteki durgun bir anadolu köylüsü idi .,bir an
sevim'le turgut'u nikâh memuru gibi yan yana karşıma oturttum .,yan yan
evinizin iş yerinize bu kadar yakın oluşu nimet .,iş yeri
"gökyüzünü yıldızlar noel ağacının şıngılları gibi süslemiş , pırıldıyorlar .",noel ağacı
konuşmalar iyice kızışmaya başladığı vakit kahve ocağının önünde görünür .,kahve ocağı
"yemekten sonra evin üst katında , ocaklı bir odaya çıktık .",üst kat
dörtnala koşan bir yük arabasının oku böğrüme çarptı .,yük arabası
yüksek öğrenimini paris'te yaptığı sıralarda pozitivistlerle yakın ilişkiler kurmuştu .,yüksek öğrenim
öyle olur olmaza ağzını açıp da bir çift laf etmez .,olur olmaz
hem bunu soruyorum hem de omuz başından öpüyorum .,omuz başı
"i̇çeriye orta boylu , geniş omuzlu , iri gövdeli bir adam girdi .",orta boy
kim bilir ne orostopolluk var bu oyunda .,ne o
hatırlayabildiğim kadar annem orta boyluydu .,orta boy
hatırlayabildiğim kadar annem orta boyluydu .,orta boylu
"orta hizmetini bile himmet'e gördürüyor , koca evi ona sildirip süpürtüyordu .",orta hizmeti
postacı adresi buldu ama bize bildirmedi . cümlesinde adresi ortak nesnedir .,ortak nesne
"biri kalemi aldı , öbürü kitabı . cümlesinde aldı ortak yüklemdir .",ortak yüklem
her şeye rağmen hâlâ bu kadına bu kadar şiddetle tutkun olmasa çoktan başını alıp orta oyunculuğuna dönecek .,orta oyunculuğu
"en sert tartışmalarda ılımlı , orta yolu bulup öneren , çoğu zaman tecer olurdu .",orta yol
biraz savaştıktan sonra bir oturak kündesiyle çocuğu yere vurdum .,oturak kündesi
arif gibi bir adamla çene yarışına girmek istememekle beraber susup oturamazdı .,çene yarışı
"barda yok , oyun salonunda , alt güvertede hiçbir yerde yok .",alt güverte
"barda yok , oyun salonunda , alt güvertede hiçbir yerde yok .",oyun salonu
öğle uykusuna dalmış yalı sakinleri .,öğle uykusu
tam on ikiyi çeyrek geçe öğle yemeğini yiyor dakikası dakikasına .,öğle yemeği
öldürücü bir kalp aksesinin bazen saatlerce sürebileceğini gayet iyi biliyor .,kalp aksesi
ölüm döşeğine yattığı zaman geçmiş olsuna uğrayan postacı hafız'a garip bir ümitle baktığı hâlâ gözümün önüne gelir .,ölüm döşeği
ölüm döşeğine yattığı zaman geçmiş olsuna uğrayan postacı hafız'a garip bir ümitle baktığı hâlâ gözümün önüne gelir .,geçmiş olsun
halde iş gecenin ölü saatlerinde biter .,ölü saat
emeklilik maaşına ne oldu ?,ne o
hatta öğle yemeğinden önce birer aperitif alsak daha iyi olmaz mı ?,öğle yemeği
en yakınındaki insanları bile tanımayan ön yargılı bir adam olduğumu bir güzel göstermişti bana .,ön yargı
parmaklıklı demir kapılar birbiriyle tam öpüşmemişti .,demir kapı
yaşadıkça kendi kabuğunu yetiştiren sümüklü böcek gibi talihimizi biz kendimiz öreriz .,böcek gibi
sık ağaçlar arasında yalnız üst katının çatısı görünen kırmızı aşı boyalı bir eski eve doğru yürüyorlardı .,üst kat
ancak çarpık bir felsefe anlayışı felsefe ile dünya görüşünün örtüştüğünü savunabilir .,dünya görüşü
öteden beriden susturmak isteyenler oldu .,öteden beri
türk dili dergisinin bu yılki özel sayısı çıktı .,özel sayı
bu pahalılıkta hâlimiz ne olacak ?,ne o
"karşısına kendi çay fincanını yerleştirdi , kocaman bir pandispanyayı fincana batırarak yemeye koyuldu .",çay fincanı
"o , bizim arkadaşı gönlünü eğlendirmeye gelmiş , paralıca bir delikanlı sanıyordu .",bir de
"her gelen , ilk iş olarak parolayı söyler .",iş ola
"pasajın demir kapıları kapanırken önde hocaları , dört delikanlı çakırkeyif dışarı çıkıyordu .",demir kapı
belgrat paşalığının muhtariyeti hakkında şifahi bir anlaşma yaptı .,bir an
sonra kızarmış patatesli sığır etini kesmeye koyuldu .,sığır eti
"yanımızda , ne olur ne olmaz diye alınmış yarım çuval peksimet vardı .",ne o
"yanımızda , ne olur ne olmaz diye alınmış yarım çuval peksimet vardı .",ne olur
duvarın önüne çekilen tahta perdeye yapıştırılmış ilanlara bakıyordu .,tahta perde
"ablam . petrol lambasının yanına oturur , dün gece bıraktığı yerden okumaya başlardı .",petrol lambası
kuru ekmekle bayat peyniri lezzetle yiyen / çeşmeden her su içerken şükür allah'a diyen,kuru ekmek
başında yapma çiçekler ve pırlantalı iğnelerle süslü pembe bir hotoz vardır .,yapma çiçek
"aktör , o her günkü pırtısını giyip de sahneye çıkarsa ağzıyla kuş tutsa seyirciye demirhane müdürü olduğunu yutturamaz .",her gün
o piç kurusuna bütün aylığını teslim ediyor .,piç kurusu
"bu ipek gibi et , genelde bademli pilavla birlikte gelirdi sofraya piyata tabağında .",piyata tabağı
"her şeyden önce , pala bıyıkları ile meşhur kırk , kırk iki yaşlarında popüler bir yazar .",pala bıyık
pos bıyıklarını çekiştirerek düşündükten sonra kafasına vurur .,pos bıyık
"kıran bey , şimdi bacaklarına dolak sarmış , siyah poturlu , keçe külahlı , göğsünde fişeklikler ve elinde mavzer , tığ gibi bir delikanlıydı .",bir de
hatta bir keresinde prizdeki ütüyü devirip handiyse evi bile yakıyordu .,bir kere
"yalnız , sakallı sert profilinin bir parçasını görebiliyoruz .",bir parça
"nalburlardan , inşaat malzemesi satan dükkânlardan , proforma faturalar alarak başhekimden yüklü avanslar çekerdi .",proforma fatura
"tek atlı arabasının pufla ipek şiltesine uzanmış , kuş tüyünden , iri , pembe yastıklara dayanmış , gözleri açık , uyur gibi duran masume hanım , yoldan yaya geçenleri hiç görmüyordu .",kuş tüyü
"talihsiz hatun odasında , rahat döşeğinde mi can vermiş ?",rahat döşeği
çocukluğunda çoğu ramazan akşamları bu pencerenin önünde beklerdi iftar topunun ışığını .,iftar topu
"oradan da bir mahzen kapağı açtılar , bir sopaya rapten beni içerisine indirdiler , üzerime de demir kapıyı kapadılar .",demir kapı
"bu seferki kovuluşun sebebi meslek rekabeti değil , meslek ahlakıydı .",bu sefer
cebinden çıkardığı yassı uçlu bir demiri söve ile çerçevenin arasına sokarak camı da yukarı sürdü ve rezeledi .,bir de
biz atölyede bir türlü adını bağışlamayan renklere sağır renkler deriz .,sağır renk
sakat bir anlatım .,bir an
öğle uykusuna dalmış yalı sakinleri .,öğle uykusu
"dalgaları ufukları örten bir denizde , küçük bir sal parçası üstünde bir boraya mı tutulduk ?",bir de
"ev sahibinin gözünü boyarım , kalan borcu bir müddet daha sallarım diyordu .",ev sahibi
hasta alt kattaki salona kadar gitti ve bir kanepenin üstüne düştü .,alt kat
sanat eserinin mimarı şüphesiz ki eseri için lüzumlu malzemenin en iyisini kullanmayı bilen kimsedir .,sanat eseri
"ne olur sanki , sen de gelsen ?",ne o
"saz takımında cızgara denilen ensiz , dikdörtgen bir kemanla santur da yer alır .",saz takımı
"cebine sakız gibi kuru üzümü doldurdun mu elde sapan , incir kuşu avına çıkarsın .",kuru üzüm
"parlak kâğıtlara sarılı kokulu sabunlar getireceğine , kapağı dönerli aynalı kremler alacağına söz verdi .",kokulu sabun
kayışı siyaha yakın koyu lacivertti .,koyu lacivert
"sizler gezip tozmakta hür olduğunuz hâlde insan zekâsı ile bir adım ilerisini seçemiyorsunuz , sezemiyorsunuz .",gezip tozmak
"selatin meyhanesinde , cıgara dumanı ve alkol buharı yoğunlaşmıştı .",selatin meyhanesi
"1996 , 20 , 2004 , 2008 gibi dört ile bölünebilen her yıl , artık yıldır .",artık yıl
"resim , heykel , seramik , el işleri sergisi ne olursa gidiyorum .",ne o
"resim , heykel , seramik , el işleri sergisi ne olursa gidiyorum .",ne olur
onlar da olmasaydı sersefildim köy yerinde .,köy yeri
uzun i̇hsan efendi olan biteni çaresizlikle seyrediyordu .,olan biten
büfenin üstünde benim seyyar hastaneyi hemen açarak henüz evlerine gidememiş olanların ilk tedavilerini yaptım .,seyyar hastane
"kız kardeşim ikindiüzeri bana sıcak , limonlu bir çorba içirdi .",kız kardeş
o bu kadında daha bir cana yakınlık bulur gibi oluyordu .,cana yakın
"neydi onunla böyle sıkı fıkı baş başa vermen , gizli planlar kuracak tenha köşelere çekilmen ?",baş baş
keşke bu sefer de kazayı bir sıra dayağı ile savuştursa .,sıra dayağı
her tarafı bir sıtma nöbetine tutulmuş gibi titriyordu .,sıtma nöbeti
"bekir , kaşla göz arasında dışarıya sızdı .",kaşla göz arası
"bu jurnalci , bu siftinlik yaratıklar köpeklik tarihinin yüz karasıydılar .",yüz karası
"yaprak sigarasını , bir hamam böceği gibi çıtır çıtır ezerek ona dedi , tutuldum desem bana kızar mısın ?",yaprak sigarası
seni ben değil amma bu çeneyle galiba damadın sokağa silkeleyecek .,değil a
çağın sinematografik ilke ve olanaklarını kullanarak üstün bir anlatım düzeyine erişmişti .,bir an
bu husus el altından soruldu .,el altında
öğle namazını hamamın soğukluğunda kıldı .,öğle namazı
"ne olursa olsun tanrılaşır , ölümsüzleşir , o tiyatroda .",ne o
"ne olursa olsun tanrılaşır , ölümsüzleşir , o tiyatroda .",ne olur
yıllar eğlenceli bir sosyal yaşamla dolu dolu geçip gidiyordu .,sosyal yaşam
"bir aralık elinde tahta çantalı birisi , kahvenin önündeki halka karşı bir söylev çekmeye başladı .",bir ara
bugün bir ikinci moda da çıplaklıktır fakat bu bir sözde çıplaklıktır .,bir iki
"benim arkadaş yakışıklıdır , cerbezelidir , sportmendir ve kuş beyinlidir .",kuş beyinli
üst kattaki tek odayı bir çalışma stüdyosu hâline getirmişti .,üst kat
tümü birden sevk edilmedikçe suçüstü mahkemesinde yargılanma olanağı yoktu .,suçüstü mahkemesi
beşikler sübekli olduğu gibi bazı salıncakların alt kısmında da sübek geçecek bir delik mevcuttur .,bir de
kanatlı hercai menekşeler gibi kelebekler ekinlerin sükûnunda uçuşurken bu kitapçıktan birkaç sayfa okunsun .,hercai menekşe
hasta gene duvarlara sürtünerek kendini alt katın merdivenlerine attı .,alt kat
şehre giren kuvvetlerimiz iki süvari bölüğünden ibaretmiş .,süvari bölüğü
"kolalı sert yaka , boğazda şişen gazel damarını sıkıyor .",gazel damarı
"eskicilerin çocukları , iğneli fıçıya attıkları gibi bir korkutma biçimiyle şartlanmıştı .",iğneli fıçı
kollar çabuk yoruluyor ve ne olsa gözler biraz şaşılaşıyor .,ne o
dur bak ben sana neler yaparım diye salavat parmağından maadasını yumarak ve yalnız o parmağını kaldırarak verilen tembih ve tehdit işareti gibi bir şey oldu .,salavat parmağı
"zavallı anneciğin çok şen , güler yüzlü , gamsız bir kadındı .",güler yüz
"devlet başkanı , konuklarıyla şeref salonunda bir süre görüştü .",şeref salonu
uzun parmakları ile kumral saçının saçak köklerindeki beyazları örterek şezlongu üstünde bir daha doğruldu .,saçak kök
oradaki son türklerin nasıl kahramanca vuruştuklarını masanın üstünden aldığım şifreli telgraftan okudum .,şifreli telgraf
ya kitaplarım ya şiir defterim / yanarım bakkal eline düşerse,şiir defteri
"ayağa kalktı , arka ayaklarını geriye itip şişkin adaleleri çekerek gerdi .",arka ayak
"annem ile babam kamyonun şoför mahalline , biz üç kardeş arkaya eşyaların üstüne kurulduk .",şoför mahalli
bir incir çekirdeğini doldurmayan sebeplerle şunun şurasında ne var ki ağzımızın tadını kaçırıyorsunuz ?,şunun şurası
o gece üst katla bizim odayı birleştiren merdivenin üstüne koca kapak takıldı .,üst kat
çarşı hamamlarındaki nalınlar da boy boymuş .,boy boy
"deri gibi sert , yayvan tandır ekmeğine alışmıştı ; yer sofrasında bunu hem kaşık hem çatal yerine dürümleyerek kullanmayı beceriyordu .",tandır ekmeği
"deri gibi sert , yayvan tandır ekmeğine alışmıştı ; yer sofrasında bunu hem kaşık hem çatal yerine dürümleyerek kullanmayı beceriyordu .",yer sofrası
öyle oldu ki o dağ dolaylarında gün geçtikçe ne olduğu ve neden gizlendiği artık herkesçe öğrenildi .,ne o
"âdet değildir , kim olursa olsun , tanrı misafirine adını sormak .",tanrı misafiri
tapucu ragıp efendi'nin çiçekleri dillere destandır .,dillere destan
"facebook , sosyal paylaşım sitelerini adeta farklı bir boyuta taşıdı .",bir boy
hiçbir yerde aradığım huzurlu tatil köyünü bulamayacağım .,tatil köyü
o meşhur beyaz şaraplarını tattık .,beyaz şarap
kış için saklamak üzere tavan arasına ayvalar yerleştirmiş .,tavan arası
"beyaz peyniri , ekmeğin taze kabuğuna sarıp ağzıma sokuyorum .",beyaz peynir
hanım evladını tepemize tebelleş eden kendisidir .,hanım evladı
"makine yağının kokusunu , yeniliklerin çürümeye bırakılmasının hüznünü ilk kez o araçta oynarken duydum .",makine yağı
mektubunu yazı makinesinde yazarak ihtiyatlı ve tedbirli hareket etmeyi unutmamış .,yazı makinesi
"tel dolaptan yemek aşırır , eve bir yedi gün uğramasam aldırmaz .",tel dolap
hepimizi topladılar ve isimleri okunanları tel örgüden dışarıya aldılar .,tel örgü
bir sanat eserini tenkit ne güç iştir .,sanat eseri
i̇şte deniz suyunun tuzunu eleyip çölü sulayıp kazanılan meralar .,deniz suyu
türkiye büyük millet meclisindeki siyasi parti gruplarınca yasama dokunulmazlığı ile ilgili görüşme yapılamaz .,millet meclisi
"bir çay bardağını dökmeden içebilmek , tetiği eli titremeden çekebilmek kadar bir itiyat meselesidir .",çay bardağı
ama zeytinyağı tüccarı böyle bir değişikliği kesinlikle tasvip etmezdi .,bir de
her birinin ağzına avucundaki et parçasını tıktı .,her biri
"hele bu cumhuriyet sözünü ne seviyor , nasıl sihirli bir deyim , her şeyi bir anda değiştiriverecek bir tılsımmış gibi tekrarlıyor .",bir de
ocağın üzerindeki saatin kırık bir kalp gibi vuran kuvvetsiz ve mahzun tik taklarını duydu .,tik tak
"bunlardan sonra top sakallı , çocuk yüzlü şaban'ın dizi en çok sevdiği yerdi .",top sakal
öyle topallar gibi değil ama bir garip yürüyordu .,değil a
üçümüz de güle oynaya tozlu bir yolda koşmaktayız .,bir yol
en zararsız oyun da sokak kapısının kol demirinde saatlerce süren trapez idmanlarıydı .,kol demiri
en zararsız oyun da sokak kapısının kol demirinde saatlerce süren trapez idmanlarıydı .,sokak kapısı
süvari livalarında uzun hizmeti geçmiş olan fahrettin bey .,geçmiş ola
su yolunda tuğlacılar ile konducular arasında kavga patladı .,su yolu
"hoca , sabahleyin bir bahçıvanın ikram ettiği turp salatasını henüz sindirememişti .",turp salatası
geldiği yolu tutturup gene tek başına mahalle kahvesinin kapısı önüne kadar geldi .,mahalle kahvesi
"biletçi teşekkür etmekten , ben de bu kadar ucuz teşekkür toplamaktan kurtulduk .",teşekkür etmek
kara ve pos bıyıklar bu kuru ve ufarak yüzü karanlıklar içinde bırakıyordu .,yüzü kara
kara ve pos bıyıklar bu kuru ve ufarak yüzü karanlıklar içinde bırakıyordu .,pos bıyık
"geceleri bilhassa yatsı namazından sonra seccadede oturmuş , çocuk dilimle , içimde ukde olan meseleler hakkında allah'la konuşur dururdum .",çocuk dili
"geceleri bilhassa yatsı namazından sonra seccadede oturmuş , çocuk dilimle , içimde ukde olan meseleler hakkında allah'la konuşur dururdum .",yatsı namazı
"i̇lkelerine sıkı sıkıya bağlı , bilinçli ve ödün vermez bir insandı .",sıkı sıkı
"o , bütün hayatı dalgalı bir ummanda ve kaptan köprüsünde geçen kocasından , sahilde sessiz bir balıkçı kulübesine mahsus bir yaşayış istemez .",kaptan köprüsü
üçü de kısa bir boyun kırışıyla umumu selamladılar .,bir boy
i̇stanbul'da mısır unundan baklava yapılırmış diye bir gün köye geldi .,mısır unu
"kim bilir , bu anadolu uşaklarının her birinde ne cevherler vardır .",her biri
böyle giderse tamamıyla galebe ümit ettiğini haber veriyordu .,haber ver
bütün uyuşturucu maddeler gibi vazgeçemeyeceği kadar bağlanarak yalana alışır .,uyuşturucu madde
"bu uyuz , can acısından bağıracaktı , ağzı açıldı ; ama sesi çıkmadı .",can acısı
"şu köşe rafında toz şeker kutusu var , uzatıver bana .",köşe rafı
